,added,deleted,added - deleted,abs(added - deleted)
unchang,6.0,5.0,1.0,1.0
une,6.0,5.0,1.0,1.0
url=,6.0,5.0,1.0,1.0
wiley-blackwel,6.0,5.0,1.0,1.0
worthwhil,6.0,5.0,1.0,1.0
zygmunt,6.0,5.0,1.0,1.0
|first=,6.0,5.0,1.0,1.0
|issue=124,6.0,5.0,1.0,1.0
|publisher=1958,6.0,5.0,1.0,1.0
|publishyear=1977,6.0,5.0,1.0,1.0
|state,6.0,7.0,-1.0,1.0
|width=100,6.0,5.0,1.0,1.0
|year=2001,6.0,5.0,1.0,1.0
''after,5.0,4.0,1.0,1.0
''intern,5.0,4.0,1.0,1.0
''internet,5.0,4.0,1.0,1.0
''modern,5.0,4.0,1.0,1.0
//tierra.rediris.es/iageth/,5.0,4.0,1.0,1.0
//www.iapg.geoethics.org,5.0,4.0,1.0,1.0
2011|publisher=palgrav,5.0,4.0,1.0,1.0
==evolutionari,5.0,4.0,1.0,1.0
=indianapoli,5.0,6.0,-1.0,1.0
accompani,5.0,4.0,1.0,1.0
approach|year=1987,5.0,4.0,1.0,1.0
asia,5.0,4.0,1.0,1.0
author=blackburn,5.0,6.0,-1.0,1.0
credenc,5.0,4.0,1.0,1.0
criterion,5.0,4.0,1.0,1.0
ecumen,5.0,4.0,1.0,1.0
ed.|,5.0,6.0,-1.0,1.0
ethics_and_evolutionary_psychology|evolutionari,5.0,4.0,1.0,1.0
ethics|mor,5.0,6.0,-1.0,1.0
ethics—a,5.0,4.0,1.0,1.0
feasibl,5.0,4.0,1.0,1.0
fucker,5.0,4.0,1.0,1.0
geo-divers,5.0,4.0,1.0,1.0
geo-heritag,5.0,4.0,1.0,1.0
herself,5.0,4.0,1.0,1.0
holocaust|nazi,5.0,6.0,-1.0,1.0
invit,5.0,6.0,-1.0,1.0
june,5.0,4.0,1.0,1.0
kim|title=valu,5.0,4.0,1.0,1.0
macmillan|isbn=978-0-230-35709-9|page=42,5.0,4.0,1.0,1.0
martha,5.0,4.0,1.0,1.0
michiel,5.0,4.0,1.0,1.0
necessit,5.0,4.0,1.0,1.0
non-real,5.0,4.0,1.0,1.0
non-rel,5.0,4.0,1.0,1.0
nussbaum,5.0,4.0,1.0,1.0
objectivism|r,5.0,6.0,-1.0,1.0
pan,5.0,4.0,1.0,1.0
pattern,5.0,4.0,1.0,1.0
perspective|date=28,5.0,4.0,1.0,1.0
portal|philosophy|the_thinker_musee_rodin.jpg,5.0,6.0,-1.0,1.0
principlism|principl,5.0,4.0,1.0,1.0
rear,5.0,4.0,1.0,1.0
red,5.0,6.0,-1.0,1.0
refimprovesect|date=may,5.0,4.0,1.0,1.0
relativism|non-r,5.0,6.0,-1.0,1.0
respond,5.0,4.0,1.0,1.0
search,5.0,4.0,1.0,1.0
short|date=octob,5.0,4.0,1.0,1.0
suit,5.0,4.0,1.0,1.0
suk,5.0,4.0,1.0,1.0
t.,5.0,4.0,1.0,1.0
vries|author2=professor,5.0,4.0,1.0,1.0
w.d,5.0,6.0,-1.0,1.0
washington,5.0,4.0,1.0,1.0
"wrong,",5.0,4.0,1.0,1.0
year=1996|id=isbn,5.0,6.0,-1.0,1.0
''xiao,4.0,3.0,1.0,1.0
''xin,4.0,3.0,1.0,1.0
..,4.0,3.0,1.0,1.0
0967370574,4.0,5.0,-1.0,1.0
2010|publisher=suni,4.0,3.0,1.0,1.0
2011|publisher=hong,4.0,3.0,1.0,1.0
2011|publisher=univers,4.0,3.0,1.0,1.0
33–35,4.0,3.0,1.0,1.0
35–37,4.0,3.0,1.0,1.0
38–41,4.0,3.0,1.0,1.0
=====stoicism=====,4.0,3.0,1.0,1.0
====utilitarianism====,4.0,3.0,1.0,1.0
===deontology===,4.0,3.0,1.0,1.0
===virtu,4.0,3.0,1.0,1.0
=oxford,4.0,5.0,-1.0,1.0
ames|title=confucian,4.0,3.0,1.0,1.0
anthology|url=http,4.0,3.0,1.0,1.0
beyond|url=http,4.0,3.0,1.0,1.0
book|last=toner|first=jam,4.0,3.0,1.0,1.0
chang|author2=leah,4.0,3.0,1.0,1.0
clone,4.0,3.0,1.0,1.0
comment,4.0,5.0,-1.0,1.0
community.,4.0,3.0,1.0,1.0
confucianism|confucian,4.0,3.0,1.0,1.0
decemb,4.0,3.0,1.0,1.0
denni,4.0,3.0,1.0,1.0
east,4.0,3.0,1.0,1.0
emotions.,4.0,3.0,1.0,1.0
emotivist,4.0,5.0,-1.0,1.0
enslav,4.0,5.0,-1.0,1.0
fallibilism|mor,4.0,3.0,1.0,1.0
fifth,4.0,3.0,1.0,1.0
fraser|author2=dan,4.0,3.0,1.0,1.0
gestur,4.0,3.0,1.0,1.0
hawaiʻi,4.0,3.0,1.0,1.0
html,4.0,5.0,-1.0,1.0
id=_uc1mvukau8c,4.0,3.0,1.0,1.0
id=z2qqf6zxxh0c,4.0,3.0,1.0,1.0
inherit,4.0,3.0,1.0,1.0
isbn-13=978-1402163937,4.0,3.0,1.0,1.0
januari,4.0,3.0,1.0,1.0
kalmanson|title=confucian,4.0,3.0,1.0,1.0
kong,4.0,3.0,1.0,1.0
main|rol,4.0,3.0,1.0,1.0
maximum,4.0,3.0,1.0,1.0
members.,4.0,3.0,1.0,1.0
narcissist,4.0,3.0,1.0,1.0
nihilist,4.0,3.0,1.0,1.0
non-,4.0,3.0,1.0,1.0
o'leary|title=eth,4.0,3.0,1.0,1.0
obvious,4.0,5.0,-1.0,1.0
organization.,4.0,5.0,-1.0,1.0
pg=pa35|date=1,4.0,3.0,1.0,1.0
pg=pa68|date=8,4.0,3.0,1.0,1.0
philosophy|western,4.0,5.0,-1.0,1.0
pieti,4.0,3.0,1.0,1.0
portalpar|philosophy|socrates.png,4.0,3.0,1.0,1.0
pp-pc1,4.0,3.0,1.0,1.0
press|isbn=978-0-8248-3576-7,4.0,3.0,1.0,1.0
press|isbn=978-1-4384-3191-8|page=68,4.0,3.0,1.0,1.0
principles|geneva,4.0,3.0,1.0,1.0
rationalism|r,4.0,3.0,1.0,1.0
robins|author3=timothi,4.0,3.0,1.0,1.0
roles.,4.0,3.0,1.0,1.0
rosemont,4.0,3.0,1.0,1.0
speak,4.0,3.0,1.0,1.0
things..,4.0,3.0,1.0,1.0
thompson,4.0,3.0,1.0,1.0
time.,4.0,3.0,1.0,1.0
truth-valu,4.0,3.0,1.0,1.0
vocabulary|date=30,4.0,3.0,1.0,1.0
|pages=18|isbn-10=1402163932|,4.0,3.0,1.0,1.0
'higher,3.0,2.0,1.0,1.0
'idea,3.0,2.0,1.0,1.0
//theanarchistlibrary.org/library/petr-kropotkin-ethics-origin-and-development.pdf,3.0,2.0,1.0,1.0
//www.astro-ecology.com/pdflifecenteredbioethics2009paper.pdf,3.0,2.0,1.0,1.0
//www.astro-ecology.com/pdfseedingtheuniverse2005book.pdf,3.0,2.0,1.0,1.0
//www.astroethics.com/,3.0,2.0,1.0,1.0
0-476-00330-x,3.0,2.0,1.0,1.0
0967370574.,3.0,2.0,1.0,1.0
10.1111/j.1467-8519.2008.00688.x,3.0,2.0,1.0,1.0
12,3.0,2.0,1.0,1.0
2011|publisher=oxford,3.0,2.0,1.0,1.0
23,3.0,2.0,1.0,1.0
32–33,3.0,2.0,1.0,1.0
37–38,3.0,2.0,1.0,1.0
433–440,3.0,2.0,1.0,1.0
978-1-84816-862-6,3.0,2.0,1.0,1.0
====pragmat,3.0,2.0,1.0,1.0
====virtu,3.0,4.0,-1.0,1.0
==the,3.0,4.0,-1.0,1.0
accultur,3.0,2.0,1.0,1.0
activist,3.0,2.0,1.0,1.0
altern,3.0,2.0,1.0,1.0
ant,3.0,2.0,1.0,1.0
astroeth,3.0,2.0,1.0,1.0
august,3.0,2.0,1.0,1.0
biotic,3.0,2.0,1.0,1.0
book|author1=chri,3.0,2.0,1.0,1.0
book|author1=jay,3.0,2.0,1.0,1.0
book|author1=professor,3.0,2.0,1.0,1.0
book|author1=wonsuk,3.0,2.0,1.0,1.0
book|author=rog,3.0,2.0,1.0,1.0
book|last=nussbaum|first=martha|title=non-rel,3.0,2.0,1.0,1.0
clara,3.0,2.0,1.0,1.0
clarify|reason=,3.0,2.0,1.0,1.0
dates|date=novemb,3.0,2.0,1.0,1.0
depart,3.0,2.0,1.0,1.0
dna,3.0,2.0,1.0,1.0
doi,3.0,2.0,1.0,1.0
don,3.0,2.0,1.0,1.0
edelglass|title=th,3.0,2.0,1.0,1.0
elimin,3.0,2.0,1.0,1.0
emphasi,3.0,4.0,-1.0,1.0
ethics.”,3.0,2.0,1.0,1.0
ethos|ethiko,3.0,2.0,1.0,1.0
explan,3.0,2.0,1.0,1.0
fact|date=march,3.0,2.0,1.0,1.0
forbidden,3.0,4.0,-1.0,1.0
freemont,3.0,2.0,1.0,1.0
g,3.0,2.0,1.0,1.0
garfield|author2=william,3.0,2.0,1.0,1.0
gene,3.0,2.0,1.0,1.0
gene/protein,3.0,2.0,1.0,1.0
geoeduc,3.0,2.0,1.0,1.0
goodness|good,3.0,4.0,-1.0,1.0
hors-text,3.0,2.0,1.0,1.0
id=f06fkmkkixwc,3.0,2.0,1.0,1.0
influence|drunk,3.0,4.0,-1.0,1.0
joy,3.0,2.0,1.0,1.0
kentucky.,3.0,2.0,1.0,1.0
kitney,3.0,2.0,1.0,1.0
legaci,3.0,2.0,1.0,1.0
life.,3.0,2.0,1.0,1.0
mdi,3.0,2.0,1.0,1.0
mistransl,3.0,2.0,1.0,1.0
model.,3.0,4.0,-1.0,1.0
movement|mussar,3.0,2.0,1.0,1.0
n'i,3.0,2.0,1.0,1.0
"not,",3.0,2.0,1.0,1.0
objectivity|object,3.0,2.0,1.0,1.0
"often,",3.0,2.0,1.0,1.0
pa,3.0,2.0,1.0,1.0
pmid=19077128,3.0,2.0,1.0,1.0
portion,3.0,4.0,-1.0,1.0
press|isbn=978-0-19-532899-8|page=62|quote=th,3.0,2.0,1.0,1.0
"professions,",3.0,2.0,1.0,1.0
propag,3.0,2.0,1.0,1.0
proteins.,3.0,2.0,1.0,1.0
sam,3.0,2.0,1.0,1.0
"satisfying,",3.0,2.0,1.0,1.0
seed,3.0,2.0,1.0,1.0
self-,3.0,2.0,1.0,1.0
solidar,3.0,2.0,1.0,1.0
spinoza,3.0,4.0,-1.0,1.0
strong,3.0,2.0,1.0,1.0
sub-disciplin,3.0,2.0,1.0,1.0
synthet,3.0,2.0,1.0,1.0
"systematizing,",3.0,2.0,1.0,1.0
tendenc,3.0,4.0,-1.0,1.0
vagu,3.0,2.0,1.0,1.0
well-b,3.0,2.0,1.0,1.0
www.amazon.com,3.0,2.0,1.0,1.0
xna,3.0,2.0,1.0,1.0
|title=astroethics|accessdate=21,3.0,2.0,1.0,1.0
学,3.0,2.0,1.0,1.0
''meta-,2.0,1.0,1.0,1.0
'it,2.0,1.0,1.0,1.0
*singer,2.0,1.0,1.0,1.0
.d,2.0,1.0,1.0,1.0
//books.google.ca/book,2.0,1.0,1.0,1.0
06.,2.0,1.0,1.0,1.0
21,2.0,3.0,-1.0,1.0
257-262,2.0,3.0,-1.0,1.0
26,2.0,1.0,1.0,1.0
482,2.0,3.0,-1.0,1.0
978-0195374049,2.0,1.0,1.0,1.0
===histor,2.0,3.0,-1.0,1.0
===role,2.0,1.0,1.0,1.0
===state,2.0,1.0,1.0,1.0
==modern,2.0,1.0,1.0,1.0
=onlin,2.0,1.0,1.0,1.0
=robert,2.0,1.0,1.0,1.0
"actions,",2.0,3.0,-1.0,1.0
armi,2.0,1.0,1.0,1.0
armé,2.0,1.0,1.0,1.0
article|environment,2.0,1.0,1.0,1.0
biggest,2.0,1.0,1.0,1.0
"categories,",2.0,1.0,1.0,1.0
civil,2.0,3.0,-1.0,1.0
cn,2.0,1.0,1.0,1.0
coincident,2.0,3.0,-1.0,1.0
consequentialism===,2.0,1.0,1.0,1.0
contempl,2.0,3.0,-1.0,1.0
"defending,",2.0,1.0,1.0,1.0
dino,2.0,1.0,1.0,1.0
document,2.0,1.0,1.0,1.0
driven,2.0,1.0,1.0,1.0
"earlier,",2.0,1.0,1.0,1.0
economist,2.0,1.0,1.0,1.0
end-of-lif,2.0,1.0,1.0,1.0
ethiko,2.0,3.0,-1.0,1.0
ethnolog,2.0,1.0,1.0,1.0
exactli,2.0,3.0,-1.0,1.0
flower,2.0,3.0,-1.0,1.0
foucault-haberma,2.0,3.0,-1.0,1.0
"framework,",2.0,1.0,1.0,1.0
français,2.0,1.0,1.0,1.0
geograph,2.0,1.0,1.0,1.0
geoheritag,2.0,1.0,1.0,1.0
goffi,2.0,1.0,1.0,1.0
higher,2.0,3.0,-1.0,1.0
http:,2.0,1.0,1.0,1.0
id=vpyjgdesca4c,2.0,1.0,1.0,1.0
"individual,",2.0,3.0,-1.0,1.0
inpho|taxonomy/2243|eth,2.0,1.0,1.0,1.0
inﬂuenc,2.0,1.0,1.0,1.0
landscap,2.0,1.0,1.0,1.0
link|date=juli,2.0,3.0,-1.0,1.0
macintyre|macintyr,2.0,3.0,-1.0,1.0
main|mohist,2.0,1.0,1.0,1.0
malden,2.0,1.0,1.0,1.0
mayb,2.0,3.0,-1.0,1.0
medicine==,2.0,1.0,1.0,1.0
meta-,2.0,1.0,1.0,1.0
morality|,2.0,1.0,1.0,1.0
murder,2.0,3.0,-1.0,1.0
needed|date=,2.0,1.0,1.0,1.0
neuroscientist,2.0,1.0,1.0,1.0
org,2.0,3.0,-1.0,1.0
outer-driven,2.0,3.0,-1.0,1.0
pascal,2.0,1.0,1.0,1.0
person’,2.0,3.0,-1.0,1.0
pg=pa62|date=9,2.0,1.0,1.0,1.0
philosophically:,2.0,1.0,1.0,1.0
philpapers|browse/meta-ethics|meta-eth,2.0,1.0,1.0,1.0
philpapers|browse/normative-ethics|norm,2.0,1.0,1.0,1.0
postmodernism|postmodernist,2.0,3.0,-1.0,1.0
preconceiv,2.0,1.0,1.0,1.0
press|isbn=978-988-8028-93-1|pages=17-35,2.0,1.0,1.0,1.0
"properties,",2.0,3.0,-1.0,1.0
quote|date=jun,2.0,3.0,-1.0,1.0
rationality:,2.0,1.0,1.0,1.0
richard_paul_and_linda_elder_and_their_definit,2.0,1.0,1.0,1.0
rights|,2.0,1.0,1.0,1.0
russian,2.0,1.0,1.0,1.0
section|date=juli,2.0,3.0,-1.0,1.0
singer|sing,2.0,3.0,-1.0,1.0
"situations,",2.0,3.0,-1.0,1.0
solomon,2.0,1.0,1.0,1.0
tax,2.0,1.0,1.0,1.0
"theory,",2.0,1.0,1.0,1.0
"therefore,",2.0,3.0,-1.0,1.0
transcendent,2.0,1.0,1.0,1.0
v..,2.0,1.0,1.0,1.0
wikif,2.0,3.0,-1.0,1.0
wolv,2.0,1.0,1.0,1.0
www.globalpublic.org,2.0,1.0,1.0,1.0
zoologist,2.0,1.0,1.0,1.0
|accessdate=2008-03-27,2.0,3.0,-1.0,1.0
|isbn=978-2296542495,2.0,1.0,1.0,1.0
|language=french,2.0,1.0,1.0,1.0
|last=goffi,2.0,1.0,1.0,1.0
|last=kidder|first=,2.0,1.0,1.0,1.0
|location=fr,2.0,1.0,1.0,1.0
|moral,2.0,3.0,-1.0,1.0
|publisher=l'harmattan,2.0,1.0,1.0,1.0
|publisher=lexico,2.0,3.0,-1.0,1.0
|sam,2.0,1.0,1.0,1.0
|titl,2.0,3.0,-1.0,1.0
|title=l,2.0,1.0,1.0,1.0
|trans_title=th,2.0,1.0,1.0,1.0
à,2.0,1.0,1.0,1.0
“bourgeois”,2.0,1.0,1.0,1.0
“proletarian”,2.0,1.0,1.0,1.0
*theologian,1.0,2.0,-1.0,1.0
//en.wikipedia.org/wiki/the_ethics_of_libertyth,1.0,2.0,-1.0,1.0
123-155,1.0,2.0,-1.0,1.0
39,1.0,2.0,-1.0,1.0
60,1.0,2.0,-1.0,1.0
==meta,1.0,2.0,-1.0,1.0
annalsofgeophys,1.0,2.0,-1.0,1.0
centr,1.0,2.0,-1.0,1.0
check,1.0,2.0,-1.0,1.0
christian_fundamentalism|fundamentalist,1.0,2.0,-1.0,1.0
christianity|fundamentalist,1.0,2.0,-1.0,1.0
churchil,1.0,2.0,-1.0,1.0
citium,1.0,2.0,-1.0,1.0
cn|date=april,1.0,2.0,-1.0,1.0
default,1.0,2.0,-1.0,1.0
edu,1.0,2.0,-1.0,1.0
eu/index,1.0,2.0,-1.0,1.0
evil|bad,1.0,2.0,-1.0,1.0
"fact,",1.0,2.0,-1.0,1.0
"goodness,",1.0,2.0,-1.0,1.0
"important,",1.0,2.0,-1.0,1.0
info,1.0,2.0,-1.0,1.0
invad,1.0,2.0,-1.0,1.0
jean-paul,1.0,2.0,-1.0,1.0
let’,1.0,2.0,-1.0,1.0
non-empir,1.0,2.0,-1.0,1.0
"own,",1.0,2.0,-1.0,1.0
"philosophy,",1.0,2.0,-1.0,1.0
philosophy|r,1.0,2.0,-1.0,1.0
php/annals/issue/view,1.0,2.0,-1.0,1.0
politics==,1.0,2.0,-1.0,1.0
"principles,",1.0,2.0,-1.0,1.0
religion==,1.0,2.0,-1.0,1.0
"singer,",1.0,2.0,-1.0,1.0
"society,",1.0,2.0,-1.0,1.0
"subjects,",1.0,2.0,-1.0,1.0
"theories,",1.0,2.0,-1.0,1.0
"thus,",1.0,2.0,-1.0,1.0
tirthankar|jina,1.0,2.0,-1.0,1.0
university|accessdate=2013-10-21,1.0,2.0,-1.0,1.0
utm,1.0,2.0,-1.0,1.0
"value,",1.0,2.0,-1.0,1.0
web|last=andre|first=claire|title=what,1.0,2.0,-1.0,1.0
well-pay,1.0,2.0,-1.0,1.0
wolf|wolv,1.0,2.0,-1.0,1.0
|last=toner|first=jam,1.0,2.0,-1.0,1.0
etika,773.0,773.0,0.0,0.0
**,601.0,601.0,0.0,0.0
call,346.0,346.0,0.0,0.0
1993,340.0,340.0,0.0,0.0
fuck,329.0,329.0,0.0,0.0
етика,238.0,238.0,0.0,0.0
sen,235.0,235.0,0.0,0.0
ética,228.0,228.0,0.0,0.0
ecolog,205.0,205.0,0.0,0.0
environment,204.0,204.0,0.0,0.0
movement,200.0,200.0,0.0,0.0
abort,194.0,194.0,0.0,0.0
come,164.0,164.0,0.0,0.0
kohlberg,159.0,159.0,0.0,0.0
so,155.0,155.0,0.0,0.0
stage,152.0,152.0,0.0,0.0
medic,148.0,148.0,0.0,0.0
feel,140.0,140.0,0.0,0.0
implic,139.0,139.0,0.0,0.0
absolut,138.0,138.0,0.0,0.0
behaviour,137.0,137.0,0.0,0.0
famou,134.0,134.0,0.0,0.0
requir,134.0,134.0,0.0,0.0
word,133.0,133.0,0.0,0.0
ethik,131.0,131.0,0.0,0.0
etik,130.0,130.0,0.0,0.0
·,127.0,127.0,0.0,0.0
command,126.0,126.0,0.0,0.0
nihil,126.0,126.0,0.0,0.0
ass,124.0,124.0,0.0,0.0
religion,123.0,123.0,0.0,0.0
euthanasia,122.0,122.0,0.0,0.0
ètica,122.0,122.0,0.0,0.0
toward,119.0,119.0,0.0,0.0
etikk,117.0,117.0,0.0,0.0
analyt,116.0,116.0,0.0,0.0
home,116.0,116.0,0.0,0.0
led,115.0,115.0,0.0,0.0
ndash,115.0,115.0,0.0,0.0
epistemolog,114.0,114.0,0.0,0.0
disput,113.0,113.0,0.0,0.0
sort,113.0,113.0,0.0,0.0
id,109.0,109.0,0.0,0.0
sl,109.0,109.0,0.0,0.0
tell,106.0,106.0,0.0,0.0
framework,105.0,105.0,0.0,0.0
get,105.0,105.0,0.0,0.0
lie,104.0,104.0,0.0,0.0
1930,98.0,98.0,0.0,0.0
asd,97.0,97.0,0.0,0.0
driver,97.0,97.0,0.0,0.0
safe,97.0,97.0,0.0,0.0
resolut,95.0,95.0,0.0,0.0
green,94.0,94.0,0.0,0.0
этика,92.0,92.0,0.0,0.0
want,91.0,91.0,0.0,0.0
semant,90.0,90.0,0.0,0.0
whi,88.0,88.0,0.0,0.0
affirm,84.0,84.0,0.0,0.0
drug,84.0,84.0,0.0,0.0
away,83.0,83.0,0.0,0.0
self-actu,83.0,83.0,0.0,0.0
test,83.0,83.0,0.0,0.0
unrel,82.0,82.0,0.0,0.0
bernard,81.0,81.0,0.0,0.0
member,81.0,81.0,0.0,0.0
1982,80.0,80.0,0.0,0.0
al,80.0,80.0,0.0,0.0
psychiatr,80.0,80.0,0.0,0.0
b,79.0,79.0,0.0,0.0
limit,79.0,79.0,0.0,0.0
main|meta-eth,79.0,79.0,0.0,0.0
articul,78.0,78.0,0.0,0.0
uk,78.0,78.0,0.0,0.0
br,77.0,77.0,0.0,0.0
doctrin,77.0,77.0,0.0,0.0
ed.,76.0,76.0,0.0,0.0
priori,76.0,76.0,0.0,0.0
et,73.0,73.0,0.0,0.0
nonviol,72.0,72.0,0.0,0.0
third,72.0,72.0,0.0,0.0
etiikka,70.0,70.0,0.0,0.0
fi,70.0,70.0,0.0,0.0
whatev,70.0,70.0,0.0,0.0
adapt,69.0,69.0,0.0,0.0
clarifi,69.0,69.0,0.0,0.0
earth,69.0,69.0,0.0,0.0
pg,69.0,69.0,0.0,0.0
did,68.0,68.0,0.0,0.0
etiko,67.0,67.0,0.0,0.0
evalu,67.0,67.0,0.0,0.0
grow,67.0,67.0,0.0,0.0
perfect,67.0,67.0,0.0,0.0
ru,67.0,67.0,0.0,0.0
da,66.0,66.0,0.0,0.0
ja,66.0,66.0,0.0,0.0
my,66.0,66.0,0.0,0.0
zh,66.0,66.0,0.0,0.0
étika,66.0,66.0,0.0,0.0
discus,65.0,65.0,0.0,0.0
ethiek,65.0,65.0,0.0,0.0
etyka,65.0,65.0,0.0,0.0
honest,65.0,65.0,0.0,0.0
line,65.0,65.0,0.0,0.0
nl,65.0,65.0,0.0,0.0
pl,65.0,65.0,0.0,0.0
realist,65.0,65.0,0.0,0.0
sub-branch,65.0,65.0,0.0,0.0
tl,65.0,65.0,0.0,0.0
subjectiv,64.0,64.0,0.0,0.0
trial,64.0,64.0,0.0,0.0
bg,63.0,63.0,0.0,0.0
ca,63.0,63.0,0.0,0.0
eetika,63.0,63.0,0.0,0.0
femin,63.0,63.0,0.0,0.0
criminolog,62.0,62.0,0.0,0.0
procedur,62.0,62.0,0.0,0.0
run,62.0,62.0,0.0,0.0
sh,62.0,62.0,0.0,0.0
sk,62.0,62.0,0.0,0.0
sr,62.0,62.0,0.0,0.0
sv,62.0,62.0,0.0,0.0
המוסר,62.0,62.0,0.0,0.0
פילוסופיה,62.0,62.0,0.0,0.0
של,62.0,62.0,0.0,0.0
==see,61.0,61.0,0.0,0.0
abraham,61.0,61.0,0.0,0.0
activ,61.0,61.0,0.0,0.0
eo,61.0,61.0,0.0,0.0
gl,61.0,61.0,0.0,0.0
lt,61.0,61.0,0.0,0.0
prescriptiv,61.0,61.0,0.0,0.0
pt,61.0,61.0,0.0,0.0
scn,61.0,61.0,0.0,0.0
su,61.0,61.0,0.0,0.0
ηθική,61.0,61.0,0.0,0.0
blurri,60.0,60.0,0.0,0.0
hr,60.0,60.0,0.0,0.0
nn,60.0,60.0,0.0,0.0
unto,60.0,60.0,0.0,0.0
伦理学,60.0,60.0,0.0,0.0
chanc,59.0,59.0,0.0,0.0
gilligan,59.0,59.0,0.0,0.0
go,59.0,59.0,0.0,0.0
injur,59.0,59.0,0.0,0.0
litmu,59.0,59.0,0.0,0.0
self-rul,59.0,59.0,0.0,0.0
american,58.0,58.0,0.0,0.0
autonomi,58.0,58.0,0.0,0.0
faci,58.0,58.0,0.0,0.0
gain,58.0,58.0,0.0,0.0
//www.ditext.com/ross/right.html,57.0,57.0,0.0,0.0
eu,57.0,57.0,0.0,0.0
mk,57.0,57.0,0.0,0.0
siðfræði,57.0,57.0,0.0,0.0
street,57.0,57.0,0.0,0.0
accident,56.0,56.0,0.0,0.0
ar,56.0,56.0,0.0,0.0
blur,56.0,56.0,0.0,0.0
came,56.0,56.0,0.0,0.0
enron,56.0,56.0,0.0,0.0
gay,56.0,56.0,0.0,0.0
side,56.0,56.0,0.0,0.0
continu,55.0,55.0,0.0,0.0
encompass,55.0,55.0,0.0,0.0
/br,54.0,54.0,0.0,0.0
cell,54.0,54.0,0.0,0.0
correspond,54.0,54.0,0.0,0.0
individual’,54.0,54.0,0.0,0.0
obey,54.0,54.0,0.0,0.0
sq,54.0,54.0,0.0,0.0
deep,53.0,53.0,0.0,0.0
value-bear,53.0,53.0,0.0,0.0
disclosur,52.0,52.0,0.0,0.0
etică,52.0,52.0,0.0,0.0
hu,52.0,52.0,0.0,0.0
achiev,51.0,51.0,0.0,0.0
emphas,51.0,51.0,0.0,0.0
employe,51.0,51.0,0.0,0.0
epsxlu,51.0,51.0,0.0,0.0
f,51.0,51.0,0.0,0.0
familiar,51.0,51.0,0.0,0.0
indianapoli,51.0,51.0,0.0,0.0
l,51.0,51.0,0.0,0.0
lust,51.0,51.0,0.0,0.0
marxism,51.0,51.0,0.0,0.0
preserv,51.0,51.0,0.0,0.0
secular,51.0,51.0,0.0,0.0
bibl,50.0,50.0,0.0,0.0
filozófia,50.0,50.0,0.0,0.0
hy,50.0,50.0,0.0,0.0
lv,50.0,50.0,0.0,0.0
realli,50.0,50.0,0.0,0.0
ro,50.0,50.0,0.0,0.0
so-cal,50.0,50.0,0.0,0.0
ētika,50.0,50.0,0.0,0.0
أخلاق,49.0,49.0,0.0,0.0
//www.galilean-library.org/int11.html,48.0,48.0,0.0,0.0
1948,48.0,48.0,0.0,0.0
asdl,48.0,48.0,0.0,0.0
asjld,48.0,48.0,0.0,0.0
asl,48.0,48.0,0.0,0.0
aslf,48.0,48.0,0.0,0.0
date,48.0,48.0,0.0,0.0
declar,48.0,48.0,0.0,0.0
dfl,48.0,48.0,0.0,0.0
guilt,48.0,48.0,0.0,0.0
kasjdk,48.0,48.0,0.0,0.0
un,48.0,48.0,0.0,0.0
categor,47.0,47.0,0.0,0.0
epicureanism|epicurean,47.0,47.0,0.0,0.0
fasd,47.0,47.0,0.0,0.0
good.,47.0,47.0,0.0,0.0
navig,47.0,47.0,0.0,0.0
pacif,47.0,47.0,0.0,0.0
fit,46.0,46.0,0.0,0.0
otherus,46.0,46.0,0.0,0.0
vi,46.0,46.0,0.0,0.0
'afl'a,45.0,45.0,0.0,0.0
assum,45.0,45.0,0.0,0.0
bioregion,45.0,45.0,0.0,0.0
carl,45.0,45.0,0.0,0.0
carol,45.0,45.0,0.0,0.0
function,45.0,45.0,0.0,0.0
học,45.0,45.0,0.0,0.0
inspir,45.0,45.0,0.0,0.0
luân,45.0,45.0,0.0,0.0
lý,45.0,45.0,0.0,0.0
redefin,45.0,45.0,0.0,0.0
th,45.0,45.0,0.0,0.0
จริยธรรม,45.0,45.0,0.0,0.0
contend,44.0,44.0,0.0,0.0
diego,44.0,44.0,0.0,0.0
explic,44.0,44.0,0.0,0.0
ia,44.0,44.0,0.0,0.0
inclus,44.0,44.0,0.0,0.0
irreduc,44.0,44.0,0.0,0.0
label,44.0,44.0,0.0,0.0
logic,44.0,44.0,0.0,0.0
psychology|psychologist,44.0,44.0,0.0,0.0
san,44.0,44.0,0.0,0.0
suffici,44.0,44.0,0.0,0.0
truth-condit,44.0,44.0,0.0,0.0
updat,44.0,44.0,0.0,0.0
11,43.0,43.0,0.0,0.0
1960,43.0,43.0,0.0,0.0
arriv,43.0,43.0,0.0,0.0
creativ,43.0,43.0,0.0,0.0
discourag,43.0,43.0,0.0,0.0
duty|civ,43.0,43.0,0.0,0.0
exlaq,43.0,43.0,0.0,0.0
footprint,43.0,43.0,0.0,0.0
fore,43.0,43.0,0.0,0.0
gaia,43.0,43.0,0.0,0.0
ku,43.0,43.0,0.0,0.0
march,43.0,43.0,0.0,0.0
men,43.0,43.0,0.0,0.0
rebutt,43.0,43.0,0.0,0.0
spark,43.0,43.0,0.0,0.0
stem,43.0,43.0,0.0,0.0
