,count,inflections
discoveri,9,"discovery, discoveries, Discovery"
figur,11,figure
humankind,9,humankind
melissa,1,Melissa
intelligence|comput,8,intelligence|computer
simplest,3,simplest
awak,2,awake
hi-valu,6,Hi-Value
approach,19,"approaches, approach"
attribut,32,"attribute, attributes, attributed, Attribute"
chode,2,Chode
accord,120,"According, according"
men,100,men
title=latin,4,title=Latin
wa,372,"Was, was"
mrs.holman,3,"Mrs.holman, mrs.holman"
"4,320,000",2,"4,320,000"
extens,4,extensively
wu,1,wu
harvard,3,Harvard
人+言=信,1,人+言=信
drew,2,drew
extent,34,extent
40-65,4,40-65
toler,5,tolerance
nikola_tesla|tesla,1,Nikola_Tesla|TESLA
rulezzz,1,rulezzz
satisfi,5,Satisfy
===qur'an===,3,===Qur'an===
goddess,30,goddess
accident,2,accidental
|publisher=thelancet.com,3,|publisher=Thelancet.com
howev,60,"However, however"
tropism,1,tropism
c5,7,C5
against,7,against
facet,6,facets
sperri,5,Sperry
140-141,6,140-141
faulk,21,Faulkes
logic,17,"logic, logical, Logic"
978-0-9796410-0-8,6,978-0-9796410-0-8
uncertainti,8,"Uncertainty, uncertainty"
com,1,com
‘scientific-information’,4,"‘Scientific-Information’, ‘scientific-information’"
prospect,4,prospect
tough,1,tough
spear,20,spear
thewildwest.org,1,thewildwest.org
character,4,"characterize, characterized, characterizes"
aspect,3,aspects
bettina,1,bettina
//www.indoxyldesigns.com/,1,//www.indoxyldesigns.com/
2nd,3,2nd
258,2,258
guil,2,guile
yhwh,11,YHWH
"discipline,",1,"discipline,"
wider,1,wider
towardsbig,1,towardsbig
guid,1,guided
256,2,256
257,2,257
speak,5,"speaks, speak"
181-196,14,181-196
examples:,1,examples:
//en.wikipedia.org/wiki/adhan,1,//en.wikipedia.org/wiki/Adhan
three,73,"three, Three"
been,101,been
milieu,1,milieu
twain,11,Twain
accumul,8,Accumulated
//www.islamicwisdom.net,1,//www.islamicwisdom.net
much,138,"much, Much"
monkey,3,monkey
interest,11,"interested, Interest"
basic,71,"Basic, basically, basic"
"wills,",1,"wills,"
tān,1,tān
ayat,10,ayat
tini,4,Tiny
self-assur,1,self-assurance
"16,",1,"16,"
life,371,"life, Life"
//en.wikipedia.org/wiki/jonas_salk,3,//en.wikipedia.org/wiki/Jonas_Salk
deeper,28,deeper
eastern,8,"eastern, Eastern"
661-618-0747,1,661-618-0747
clearli,29,clearly
/adult,1,/adults
child,57,"child, Children, children"
''ital,1,''Italic
capacit,1,capacitated
doth,11,doth
161,1,161
cunt,1,cunt
specul,4,Speculation
ugli,3,ugly
east,1,east
mądrość,22,Mądrość
קלוגשאפט,22,קלוגשאפט
geschiedeni,1,geschiedenis
fallon,1,Fallon
properti,28,"property, properties"
===others===,1,===Others===
castro,3,Castro
n,1,ns
aim,54,"aim, aimed, aims"
christianity===,1,Christianity===
calcul,6,calculation
forse,1,forsee
"time,",4,"time,"
gave,1,gave
bibleref2|proverbs|8:22–31,1,bibleref2|Proverbs|8:22–31
labyrinthin,2,labyrinthine
//www.excaliburbooks.com,19,//www.excaliburbooks.com
quotat,2,Quotations
seven,36,"seven, Seven"
*the,1,*The
tzu,4,Tzu
==notes==,24,==Notes==
...,35,...
iq,6,IQ
"character,",2,"character,"
is,3096,"IS, Is, is"
cohes,1,cohesion
it,1023,"Its, its, it, It"
1:17-31,26,1:17-31
shame,38,"shame, shameful, shamed"
v=onepag,1,v=onepage
im,2,im
'congreg,1,'congregate
io,2,io
hebrew,92,Hebrew
ia,5,ia
1090,1,1090
sever,12,several
if,103,"If, if"
“anyon,1,“Anyone
credit,6,credited
perform,22,"perform, performed"
suggest,15,"suggesting, suggests"
make,89,"Making, making, make, makes"
mayb,2,maybe
wound,20,wounding
“sleep”,2,“sleep”
quran|2|269|,1,quran|2|269|s
sagessa,5,Sagessa
utilitarian,22,utilitarian
complex,8,"complexity, complex"
erikson===,5,Erikson===
descend,2,descendants
big,13,"big, Big"
//www.tawandhamma.og,1,//www.tawandhamma.og
"literature,",1,"literature,"
european,43,European
|qur'an,6,|Qur'an
دماغ,15,دماغ
evid,38,"Evidence, evident, evidence"
hang,20,hanged
evil,117,evil
publ,4,Publ
delight,12,delighting
==extern,23,==External
rais,16,raises
anil,4,Anil
refin,7,"refinements, refined"
人+二=仁,1,人+二=仁
мудрост,30,Мудрост
proverbs|proverb,38,Proverbs|Proverbs
day-and-night,2,day-and-night
narrow,7,narrow
"relationships,",1,"relationships,"
scenario,2,scenarios
1601,11,1601
1976,2,1976
thu,78,"Thus, thus"
peronsnsn,1,PERONSNSNS
deal,5,"deals, deal"
ocean,2,Ocean
academia,17,"Academia, academia"
mamma,1,mamma
greatest,19,greatest
needed|date=may,7,needed|date=May
babel,3,BABEL
'gener,4,'generativity
everyth,8,"EVERYTHING, Everything, everything"
self-awar,16,"self-awareness, Self-awareness"
rout,2,route
left,11,left
===taoism===,3,===Taoism===
mclean,1,McLean
wahl,4,Wahl
just,57,"Just, just"
as_brr=0,1,as_brr=0
antidot,5,antidote
newton,29,Newton
חוכמה,24,חוכמה
perception/imag,1,perception/image
rbweeeeeeeeeeeeeeeeeeeeeeeeeeeee,1,RBweeeeeeeeeeeeeeeeeeeeeeeeeeeee
išminti,14,Išmintis
roderico,2,Roderico
human,188,"Human, Humans, humans, human, humane, humanity"
narcissist,3,narcissistic
depart,1,departments
plight,1,plight
yet,50,"yet, Yet"
quote|,10,quote|
enlighten,19,"Enlightenment, enlightened, enlightenment"
characterist,21,"characteristics, characteristic, Characteristics"
vulgat,8,"vulgate, Vulgate"
han,1,Han
‘data,1,‘data
last2=mckenna|first2=bernard,1,last2=McKenna|first2=Bernard
'care,1,'Caring
had,27,"HAD, had"
mr.,3,Mr.
wright,5,"Wright, wright"
discret,38,discretion
endur,2,enduring
"complex,",1,"complex,"
20-21,3,20-21
righteous,26,righteously
20hhhhhhhhhhhhhhhhhhhhhhhh,1,20hhhhhhhhhhhhhhhhhhhhhhhh
take,89,"take, taking, takes"
applic,248,"application, applications, applicability, Applications, Application, applicable"
fortun,3,Fortunately
9b,7,9B
maya,4,"Maya, maya"
*conov,2,*Conover
preserv,9,"Preserving, preservation"
disposit,36,disposition
//www.nsf.gov/news/speeches/colwell/rc81012.htm,2,//www.nsf.gov/news/speeches/colwell/rc81012.htm
busey,1,Busey
arab,9,"Arabic, Arabs, arabic"
kabbalah,10,Kabbalah
natal,2,natal
god.,2,God.
birth,8,birth
destroy,2,destroy
"tradition,",1,"tradition,"
mitchel,6,Mitchell
‘scientific-knowledg,2,‘scientific-knowledge
apart,4,apart
measur,102,"measure, Measurement, Measures, measured, measurable"
978-1-929490-35-6,17,978-1-929490-35-6
riddl,1,Riddle
specif,43,"specific, specifically"
gift,75,"gifts, gift, Gift"
//www.nytimes.com/ref/magazine/20070430_wisdom.html,13,//www.nytimes.com/ref/magazine/20070430_WISDOM.html
contradict,35,contradictions
2007|,23,2007|
51,3,51
"philosopher,",1,"philosopher,"
=61|,13,=61|
remind,1,reminded
confid,1,confident
night,28,"nights, night"
moral,19,moral
‘scientif,4,‘scientific
afilalo,1,Afilalo
underli,3,underlie
right,195,"right, rights"
old,103,"OLDE, Old, OLD, old"
cleric,2,Cleric
edition|accessdate=19,2,edition|accessdate=19
//10yards.bandcamp.com/,1,//10yards.bandcamp.com/
diderot,1,Diderot
interv,27,"intervals, Interval"
0060928204,1,0060928204
deaf,7,deaf
maxim,28,"maximization, maximize"
dead,30,"DEAD, dead"
3:13-18,1,3:13-18
revel,2,Revelation
intern,22,"Internal, internal"
academia.,11,academia.
conflicts.,5,conflicts.
inact,6,inaction
intellect,18,"intellect, Intellect"
forgotten,1,forgotten
//www.equip.org/articles/who-is-wisdom-in-proverbs-8/,1,//www.equip.org/articles/who-is-wisdom-in-proverbs-8/
kb.klmi,1,kb.klmi
cooper,1,cooperation
implement,1,implementing
bibleref2|proverbs|1:20,1,bibleref2|Proverbs|1:20
bottom,3,bottom
knolag,1,knolage
normal,2,normal
arthur,2,Arthur
20doubt,2,20doubting
wisdom-1.th,1,wisdom-1.The
philosophies/,1,Philosophies/
kelsang,1,Kelsang
john-uebersax.com,5,John-uebersax.com
select,2,"Selected, select"
veda,8,"vedas, Vedas, veda"
condit,7,"conditions, condition"
highli,1,highly
inclin,3,inclination
wisest”,2,Wisest”
3:35,1,3:35
cord,1,cording
creatur,27,"creatures, creature"
rank,1,rank
excaliburbook,1,excaliburbooks
efez,30,Efez
bold,2,Bold
champion,1,champion
|paladin,2,|Paladins
tawandhamma,1,Tawandhamma
“wisdom,1,“Wisdom
‘knowledge’,2,"‘knowledge’, ‘Knowledge’"
galleri,1,gallery
//www.in-love-with-wisdom.com,4,//www.in-love-with-wisdom.com
bibleref|proverbs|8:13,6,bibleref|Proverbs|8:13
filosofía,20,filosofía
qur'an,36,Qur'an
promot,47,"promote, promoting"
corr,4,corr
post,4,"Post, post"
mountain-top,1,mountain-top
super,13,"Super, super"
spoke,1,spoke
trustworthi,2,"trustworthy, trustworthiness"
an4,1,AN4
foolish,55,"foolish, foolishness"
bibleref2|proverbs|3:21–23,1,bibleref2|Proverbs|3:21–23
chronolog,2,chronology
fortitud,38,fortitude
literatur,48,"Literature, literature"
o,16,"o, O"
unfortun,1,Unfortunately
york|isbn=0-521-80238-5,2,York|isbn=0-521-80238-5
despair,12,despair
horizon,8,horizons
span,14,"spanning, spans"
produc,39,produce
abus,1,abused
bath,1,baths
bate,2,Bates
mbi,1,mby
civil,11,civilization
chooser,5,chooser
introspection|introspect,1,Introspection|introspective
//www.worldscibooks.com/popsci/p362.html,1,//www.worldscibooks.com/popsci/p362.html
personfication===,1,personfication===
'hakham,1,'Hakham
son,40,"son, Son"
creativ,38,"Creativity, creativity, creative"
monika,13,Monika
dean,2,dean
technology-ori,6,technology-oriented
.i,2,.i
surround,4,surroundings
accordingli,55,"accordingly, Accordingly"
"angles,",1,"angles,"
crowd,30,Crowds
suffici,16,sufficient
quran|2|269|s=n,5,quran|2|269|s=ns
frustrat,2,frustrating
support,14,"supporting, support, supported"
response-pattern,1,response-patterns
//books.google.com/book,2,//books.google.com/books
0521367182,1,0521367182
happi,7,"Happiness, happiness, happy"
avail,56,available
imit,30,imitation
reli,1,relies
seeker,1,Seeker
editor,17,editor
way,129,"Way, way, ways"
1970,10,1970s
sutta,1,Sutta
disambigu,23,disambiguation
wat,3,"wat, wats"
war,3,"war, Wars"
inter-rel,2,inter-related
philpapers|category|wisdom,2,PhilPapers|category|wisdom
head,15,"head, HEAD"
medium,1,media
form,163,"forms, Form, form, formed"
offer,26,"offered, offers"
forc,47,"forced, force, forces, Force"
littel,1,littel
vulgate.,3,vulgate.
tennyson,7,Tennyson
sagan,3,Sagan
substrat,1,substrates
why_2,2,Why_2
antisoci,1,antisocial
hear,11,"hear, hears"
solar,4,solar
socrat,55,Socrates
true,246,"True, true"
222,9,222
dump,1,dumps
www.genericwisdom.com,2,"www.GenericWisdom.com, www.GenericWisdom.Com"
|last=kleinman,3,|last=Kleinman
doctrine_of_the_mean|,1,Doctrine_of_the_Mean|
born,42,born
yi..thre,20,yi..three
'god,5,'God
maximum,1,maximum
until,21,until
crystal,1,crystal
268-9,1,268-9
jonas_salk.jpg|thumb|right|,3,Jonas_Salk.jpg|thumb|right|
absenc,1,absence
shristi,5,Shristi
"comes,",1,"comes,"
besides.,20,besides.
151,8,151
d.c,13,D.C
classif,38,"classification, Classification"
featur,6,feature
alongsid,1,alongside
classic,76,"Classically, Classical, classic, Classics"
abstract,5,"abstract, Abstract"
consciou,5,conscious
1088,1,1088
proven,35,proven
'',3423,''
'congress,1,'Congress
limbic,1,limbic
exist,100,"existed, exist, exists, existence"
multipl,5,multiple
0.67,19,0.67
door,1,door
plan,3,"plans, plan"
ill.|isbn=0877431345|edition=new,2,Ill.|isbn=0877431345|edition=New
harter,17,Harter
"discretion,",1,"discretion,"
shit,3,shit
"waffle,",1,"Waffle,"
nl,22,nl
brother,1,Brother
no,35,"No, no"
na,5,Na
'”,8,'”
tobogan,1,tobogan
when,127,"When, when"
ne,1,ne
'’,9,'’
//www.knightnet.org.uk/christian/wisdom.htm,1,//www.knightnet.org.uk/christian/wisdom.htm
emerita,2,Emerita
role,9,"role, Role, roles"
prajna,1,prajna
jone,1,jones
|publisher=bible.cc,2,|publisher=Bible.cc
//eternalnowcenter.blogspot.com/,1,//eternalnowcenter.blogspot.com/
god'|,1,god'|
depos,1,deposed
nu,1,nu
realiti,18,"Reality, reality"
'w,19,'W
well-found,1,well-founded
matur,16,"Mature, mature"
development|editor=r,28,development|editor=R
intend,6,intended
book|last=esslemont|first=j.e.|title=bahá'u'lláh,2,book|last=Esslemont|first=J.E.|title=Bahá'u'lláh
rat,2,rat
devot,1,devoted
self-chosen,5,self-chosen
felt,2,felt
poem,1,poem
philos-sophia,14,philos-sophia
brief,4,brief
journey,13,Journey
intent,38,"intentions, intents, intent"
and/or,3,and/or
publican,11,publicans
v.257,24,v.257
v.258,24,v.258
humor,2,humor
'm,2,'m
buddhist|,1,Buddhist|
'i,20,'I
billion,15,"billion, billions"
longev,1,longevity
femal,16,female
receiv,7,"receive, received, receiving"
for,646,"For, for"
furthermor,7,"furthermore, Furthermore"
csv188,1,CSV188
lord|fear,4,lord|fear
''most,2,''most
csv185,3,CSV185
wisdom-reid-highsmith.jpeg|thumb|left|,15,Wisdom-Reid-Highsmith.jpeg|thumb|left|
nisbett|title=reason,5,Nisbett|title=Reasoning
berlin,26,Berlin
26,1,26
'surviv,1,'Survival
“surviv,2,“Survival
ignor,64,"ignorant, ignorance, Ignorance"
'isdom’,19,'isdom’
"act,",1,"act,"
time,172,"timely, time, times, Times"
//www.d20srd.org/srd/thebasics.htm,3,//www.d20srd.org/srd/theBasics.htm
"artificial,",1,"artificial,"
حکمت,19,حکمت
mather,2,Mathers
corpu,1,corpus
anglican,19,Anglican
concept,43,"concept, Concepts, concepts"
rosenroth,2,Rosenroth
value-creation-asset,1,value-creation-assets
chain,1,chain
whoever,9,whoever
61688-7/fulltext,6,61688-7/fulltext
rob,1,rob
celebr,16,celebrated
invent,5,"invented, invention"
"fourteen,",1,"fourteen,"
neurosci,2,Neuroscience
signific,7,significant
mill,3,Mills
'sanhedrin,1,'Sanhedrin
lr=,1,lr=
-creation-asset,3,-creation-assets
discern,251,"discern, discernment"
pure-self/wisdom/selfless,1,pure-self/wisdom/selflessness
decid,10,"decided, decides"
middl,5,middle
depend,58,"dependency, depends, depend, depending, dependent"
seligman,1,Seligman
recognit,5,recognition
'nowledg,1,'nowledge
//www.wow4u.com,5,//www.wow4u.com
father,24,"Father, father"
environment,1,Environmental
0,1,0
certainli,14,"certainly, Certainly"
fear_of_the_lord|fear,2,Fear_of_the_lord|fear
accomplish,1,accomplish
978-0123750006,3,978-0123750006
209,1,209
oneself.mani,1,oneself.Many
partner=rssnyt,22,partner=rssnyt
brown,36,Brown
sourc,115,"Source, sources, source, Sources"
earli,18,early
recognis,4,"recognised, recognises"
1990,7,1990
alphabet|run,20,alphabet|runes
160-177,1,160-177
//www.pnas.org/content/early/2010/03/23/1001715107|accessdate=1,5,//www.pnas.org/content/early/2010/03/23/1001715107|accessdate=1
aesop,4,Aesop
broadli,7,broadly
octob,1,October
word,90,"Word, Words, words, word"
"*miller,",1,"*Miller,"
8.64,2,8.64
seemingli,2,seemingly
1994,3,1994
judaism,5,Judaism
lpg=pa238,1,lpg=PA238
level,33,"Levels, level, levels"
did,35,did
reproduc,5,Reproducibility
gui,2,guises
restor,28,restoring
nagel,7,Nagel
njmkbaskd,1,njmkbaskd
p,38,"P, ps"
collect,17,"Collecting, Collectively, collection, collected, Collective, Collection"
|folli,15,|folly
saĝo,17,Saĝo
progress,6,"progress, progressive"
lancet,4,Lancet
section,4,section
tongu,1,tongue
guy,3,"Guys, guys"
bibleref|psalm|74:5,1,bibleref|Psalm|74:5
yall,1,yall
prevent,1,prevent
parsif,1,Parsifal
regret,19,Regret
be,846,"be, beings, being, BEING, Being"
everyon,1,everyone
resourc,8,"resources, Resources"
d,16,"D, d"
yoyoyo,1,yoyoyo
hinduism’,3,Hinduism’s
mk,14,mk
benefici,8,beneficial
sageadvisor.org,2,SageAdvisor.Org
distihkughu,1,distihkughu
helpless,2,"helpless, helplessness"
=2007|date=may,15,=2007|date=May
/2007/05/06/magazine/06wisdom-t.html,1,/2007/05/06/magazine/06Wisdom-t.html
angelican,1,Angelican
shaw,1,Shaw
individual’,1,individual’s
appear,13,"appearing, Appear, appears, appear"
favour,3,favourable
ज्ञान,2,ज्ञान
current,12,"current, currently"
sinc,17,"since, Since"
q=wisdom,1,q=Wisdom
'ha,1,'has
oref=slogin,2,oref=slogin
guilt,4,guilt
atomist,4,"atomistic, atomist"
appeal,2,appeal
'hi,5,'his
''allegori,9,''Allegory
redirect-distinguish|sapience|senti,4,redirect-distinguish|Sapience|Sentience
redirect,2,"REDIRECT, redirect"
giveup,2,giveup
אור,11,אור
deriv,15,"derives, derived"
fact|date=septemb,2,Fact|date=September
guardian,46,guardian
gener,79,"generating, Generic, Generally, generally, general, generalize, generalized, generate, generations, generativity"
muslim,1,Muslims
shankar,1,Shankar
french,3,French
water,1,watering
detest,1,detest
witch,2,witch
apocryph,1,apocryphal
→kleinman,1,→Kleinman
ljads'g,1,ljads'gs
galileo,2,Galileo
bibleref|psalm|75:4-5,1,bibleref|Psalm|75:4-5
along,61,along
hemeroid,1,hemeroid
teacher,1,Teachers
invis,1,invisible
boy,12,"boy, BOYS"
insan,1,insanity
//en.wikipedia.org/wiki/us,1,//en.wikipedia.org/wiki/User
root,11,"rooted, root, Rooted"
wisdom/selfless,1,wisdom/selflessness
"intelligence,",8,"intelligence,"
trial,2,Trial
franklin,3,Franklin
"sanskrit,",1,"Sanskrit,"
dusti,3,dusty
wizdom,1,wizdom
==sapience==,4,==Sapience==
pillow,1,pillows
commonli,30,commonly
ourselv,2,ourselves
''ident,3,''Identity
epistl,11,epistle
insight.,5,insight.
dick,7,"DIck, dick, Dick, DICK"
love,167,"love, Love, Loving, LOVE, loving"
date=februari,1,date=February
607–62.,24,607–62.
//sites.google.com/site/davidrooneyknowledge/hom,2,//sites.google.com/site/davidrooneyknowledge/Home
berth,1,berth
8:17-21,1,8:17-21
durham,2,Durham
positive-wisdom,1,Positive-Wisdom
age-depend,4,age-dependent
=hall|,23,=Hall|
fake,1,fake
fool,11,fools
nefari,1,nefarious
planck,13,Planck
angelo,4,Angelo
|ref=harv,1,|ref=harv
perf,2,perf
torah,3,Torah
memori,7,"memories, Memories, memory"
univers,415,"universities, Universe, universal, universally, universe, universes, University"
"ways,",1,"ways,"
'love,2,"'Loving, 'Love"
uk,14,uk
|publisher=,2,|publisher=
life-satisfact,1,life-satisfaction
live,67,"living, lived, Living, live, LIVED, lives"
reseach,4,reseach
scope,2,scope
today,17,"todays, Today, today"
athena,21,Athena
chapter,36,"chapter, Chapter"
``,1340,``
bitterest,31,bitterest
peopl,379,"PEOPLE, People, people"
belling,3,Bellinger
enhanc,3,enhanced
tamaso,6,tamaso
unconsci,5,unconscious
one’,20,one’s
3:2,30,3:2
criteria.,20,criteria.
winebibb,11,winebibber
easiest,30,easiest
religi,70,"Religious, religious"
"and,",2,"And,, and,"
scientific-learn,3,scientific-learning
graphic,2,graphical
//www.nytimes.com/2007/05/06/magazine/06wisdom-t.html,23,//www.nytimes.com/2007/05/06/magazine/06Wisdom-t.html
|publisher=thewildwest.org,1,|publisher=Thewildwest.org
man-mad,1,man-made
foremost,2,foremost
judg,11,"judge, judged"
uniqu,23,"uniqueness, unique, Unique"
pagewanted=all|newspaper=new,3,pagewanted=all|newspaper=New
cat,2,"CATS, cat"
issuanc,2,issuance
minimum,19,minimum
‘scientific-,16,‘Scientific-
can,245,"CAN, can, Can"
wisdom|sophia,1,wisdom|Sophia
webster,9,Webster
identified.,1,identified.
purpos,50,"purpose, purposeful, Purpose"
σοφία,17,Σοφία
address,4,addressing
problemat,3,problematic
heart,65,"hearts, heart"
method”,2,Method”
puriti,2,purity
predict,14,"predict, Predictions"
etc..,5,etc..
fuck,2,"Fucked, fuck"
in-depth,1,in-depth
topic,8,topic
heard,2,Heard
critic,6,"criticized, critical, critically"
chokhmah,1,Chokhmah
council,2,"council, Council"
palla,8,Pallas
辶+首=道,2,辶+首=道
chemic,1,chemical
==wisdom,5,==Wisdom
cardin,68,cardinal
===books===,3,===Books===
differenti,13,differentiate
bibleref|proverbs|1:7,5,bibleref|Proverbs|1:7
st.,1,St.
viewpoint,1,viewpoint
in,2620,"In, in"
/ref,593,/ref
revolut,2,revolution
economi,7,"economies, Economy"
write,7,"writes, writing"
alway,8,always
veryy,1,VERYY
field-keywords=anatomy+of+r,3,field-keywords=Anatomy+of+Reality
criterion,20,criteria
s.,79,"S., s."
pure,42,"Purely, pure"
confuciu,57,Confucius
life-stag,12,"life-stage, life-stages"
monast,11,monastic
pathway,30,pathway
'holi,1,'holy
product,14,"product, products"
//www.philosophicalsociety.com/what,1,//www.philosophicalsociety.com/What
may,245,"May, may"
max,13,Max
linnaeu,12,Linnaeus
maa,12,maa
levi,3,Levy
cours,34,"course, courses"
mankind,5,"mankind, Mankind"
date,43,date
such,52,such
suck,6,"Suck, sucks, SUCK, suckssss"
data,36,"Data, data"
grow,40,grow
vs.confus,1,vs.confusion
man,211,"man, Man, MAN"
widely-held,1,widely-held
practic,67,"practical, PRACTICAL, Practices, practiced, Practice, Practical, practice, practices"
conscious,20,"Consciousness, consciousness"
sr,16,sr
devi,2,devised
quot,24,"quotes, Quotes, quote"
sw,5,sw
sv,22,sv
avenu,33,avenues
maxwel,90,"Maxwell, MAXWELL"
inform,85,"Information, information, informed, inform, INFORMATION"
sh,4,sh
so,281,"So, so"
predit,1,predit
==educ,1,==Educational
ordinari,2,ordinary
talk,93,"talking, talks, talk"
irrat,1,irrational
"development,",2,"development,, Development,"
anticip,1,anticipate
//www.roman-colosseum.info/roman-gods/myths-about-the-roman-goddess-minerva.htm|publisher=roman-colosseum.info,2,//www.roman-colosseum.info/roman-gods/myths-about-the-roman-goddess-minerva.htm|publisher=Roman-colosseum.info
gradual,1,gradually
deiti,2,deity
approv,1,approval
interpretations==,1,Interpretations==
proverbs|,1,Proverbs|
brain,59,"brain, BRAIN"
'power,1,'power
nbsp,8,nbsp
microscop,2,microscope
pitch,2,Pitch
peterson,37,Peterson
still,10,still
pointer,2,Pointer
equit,26,equitably
dynam,6,dynamic
entiti,10,entity
ethic,64,"ethical, ethics, Ethics"
group,14,"group, groups, grouping"
+1,3,+1
concis,1,concisely
passions_,1,Passions_
passag,10,passages
hfgujvhgvygjfr6ytufg6y7,1,hfgujvhgvygjfr6ytufg6y7
platform,3,Platform
inquiries:,1,inquiries:
|role-play,1,|role-playing
a.k.a,16,a.k.a
main,1,main
ascrib,4,ascribes
=stephen,23,=Stephen
non,1,non
dispens,1,dispensed
recal,3,recall
non-format,1,non-formatted
beil,17,Beil
profession,2,professional
disloy,1,disloyal
શાણપણ,4,શાણપણ
"erikson,",1,"Erikson,"
initi,1,Initiative
nation,6,"National, nations"
1991,4,1991
col-,1,Col-
conquer,6,conquering
k..hjyimnhjubmju,1,k..hjyimnhjubmju
therebi,27,thereby
half,2,half
not,481,"Not, not, NOT"
things.”,5,things.”
last3=liesch|first3=pet,1,last3=Liesch|first3=Peter
now,8,"Now, now"
''jeremi,1,''Jeremy
hall,2,Hall
nor,2,nor
introduct,5,"introduction, Introduction"
occult,2,occult
cop,1,cop
term,215,"term, terms, termed"
ancestor,7,"Ancestor, ancestors"
centuri,13,"Century, century"
name,122,"named, name, namely, names"
for:,4,for:
perspect,109,"perspective, Perspective, Perspectives, perspectives"
//www.amazon.com/creativity-flow-psychology-discovery-invention/dp/0060928204/ref=sr_1_1/104-2738267-6438361,1,//www.amazon.com/Creativity-Flow-Psychology-Discovery-Invention/dp/0060928204/ref=sr_1_1/104-2738267-6438361
fact|date=march,96,Fact|date=March
===erik,5,===Erik
"form,",1,"form,"
anguttara,30,Anguttara
magazin,27,"magazine, Magazine"
//www.amazon.com/survival-wisest-jonas-salk/dp/006013738x,6,//www.amazon.com/survival-wisest-Jonas-Salk/dp/006013738X
intf*ck,1,intf*ck
h,4,"h, H"
uses||th,3,uses||the
polit,25,political
courag,113,courage
0-521-36718-2,3,0-521-36718-2
el,57,"el, else"
|wisdom,3,"|Wisdom, |wisdom"
en,1,en
christian,144,"Christian, Christians, Christianity"
eh,1,eh
citat,61,"Citations, citations, Citation"
emerges.,2,emerges.
ed,52,"ed, ED"
individu,75,"individual, individuals"
beginningless,2,beginningless
ea,28,Ea
continu,18,"continues, Continuing, continue"
0-521-80238-5,3,0-521-80238-5
18th,1,18th
persian,2,Persian
penis==,1,penis==
harpercollin,13,HarperCollins
year,130,"Year, year, years"
et,3,et
happen,3,"happens, happen"
taoism,33,Taoism
imprint,1,imprints
baselin,2,baseline
shown,2,shown
''sapientia,6,''sapientia
mahamantavara,3,mahamantavara
charron,11,Charron
space,14,"spaces, space"
dictionary.com,13,Dictionary.com
will-bas,2,will-based
thirst,20,thirst
frontosubcort,1,frontosubcortical
"2005,",1,"2005,"
celsu,62,"Celsus, Celsu"
stupid,5,"STUPID, stupid"
"washington,",2,"Washington,"
harmon,1,harmonize
rb.jpg|thumb|,4,RB.jpg|thumb|
correct,33,correct
integr,16,"integral, integrity"
oyesina,1,OYESINA
e.,60,E.
author=lewi,4,author=Lewis
|chapter=8|year=2004|location=oxford|pages=181–196|isbn=0-19-516701-5,1,|chapter=8|year=2004|location=Oxford|pages=181–196|isbn=0-19-516701-5
quran,14,Quran
film|wisdom,9,film|Wisdom
www.vri.dhamma.org,5,www.vri.dhamma.org
million,2,millions
seventh,13,seventh
argu,62,"argued, argue, argues"
headlin,2,Headline
theori,136,"theory, theories, Theory"
plea,12,"pleasing, plea"
grandma,2,"grandma, GRANDMA"
org,1,org
===resources===,2,===Resources===
care,40,"caring, Caring, cares, carefully"
''σοφία,20,''Σοφία
"ability,",1,"ability,"
bohra,1,Bohras
"faith,",1,"faith,"
fa,14,fa
pg=pa238,1,pg=PA238
test-retest|,1,Test-retest|
insert,2,Insert
wrong,5,"wrong, WRONG"
british,2,British
recov,3,recover
mesopotamian,32,Mesopotamian
relationships-insight,7,relationships-insight
place,10,"place, places"
bibleref|1corinthians|12:8–10,1,bibleref|1Corinthians|12:8–10
unwis,3,unwise
principl,230,"Principle, principle, Principles, principles"
star,3,"Star, Stars"
think,73,"thinking, think, thinks"
frequent,2,frequently
first,108,first
blind,19,"blind, blinded"
"streets,",1,"streets,"
wikivers,2,Wikiversity
xi,1,xi
web|last=vervaeke|first=john|title=th,2,web|last=Vervaeke|first=John|title=The
directli,1,directly
kabbala,6,Kabbala
spoken,1,spoken
onc,33,once
potter,1,Potter
yourself,13,yourself
acquisit,25,acquisition
pizza,1,Pizza
brain.,4,brain.
sunlight,1,sunlight
islam===,1,Islam===
oppos,6,opposed
2011|pmid=20368436|pmc=2867718,4,2011|pmid=20368436|pmc=2867718
fight,1,fight
open,13,"open, opens"
tomorrow,1,Tomorrow
'em,3,'em
size,1,size
sheep,11,sheep
corinthian,43,Corinthians
given,73,"given, Given"
contributions/49.139.99.176|49.139.99.176,1,Contributions/49.139.99.176|49.139.99.176
teenag,1,teenager
"jainism,",1,"Jainism,"
book|title=latin,2,book|title=Latin
caught,15,caught
yin,6,yin
22+knowledge+or+wisdom+or+communication+-win,1,22+knowledge+OR+wisdom+OR+communication+-wine
philosophy|philosoph,43,philosophy|philosophical
necessarili,4,necessarily
year=2010,1,year=2010
//www.nytimes.com/2006/03/09/fashion/thursdaystyles/09skin1.html,5,//www.nytimes.com/2006/03/09/fashion/thursdaystyles/09skin1.html
white,2,white
bitt,1,Bitt
