,added,deleted,added - deleted,abs(added - deleted)
8:6-7,43.0,43.0,0.0,0.0
altern,43.0,43.0,0.0,0.0
cariad,43.0,43.0,0.0,0.0
cy,43.0,43.0,0.0,0.0
idiomnot,43.0,43.0,0.0,0.0
max,43.0,43.0,0.0,0.0
nomo,43.0,43.0,0.0,0.0
pm,43.0,43.0,0.0,0.0
politician,43.0,43.0,0.0,0.0
sardon,43.0,43.0,0.0,0.0
subjug,43.0,43.0,0.0,0.0
uncontrol,43.0,43.0,0.0,0.0
underli,43.0,43.0,0.0,0.0
''neiko,42.0,42.0,0.0,0.0
//buddhism.kalachakranet.org/immeasurables.html,42.0,42.0,0.0,0.0
atic,42.0,42.0,0.0,0.0
harmoni,42.0,42.0,0.0,0.0
idiom,42.0,42.0,0.0,0.0
intermingl,42.0,42.0,0.0,0.0
nietzsch,42.0,42.0,0.0,0.0
oper,42.0,42.0,0.0,0.0
strife,42.0,42.0,0.0,0.0
''emot,41.0,41.0,0.0,0.0
''physic,41.0,41.0,0.0,0.0
''repuls,41.0,41.0,0.0,0.0
943,41.0,41.0,0.0,0.0
949,41.0,41.0,0.0,0.0
957,41.0,41.0,0.0,0.0
958,41.0,41.0,0.0,0.0
agent,41.0,41.0,0.0,0.0
argument,41.0,41.0,0.0,0.0
attend,41.0,41.0,0.0,0.0
bonding|bond,41.0,41.0,0.0,0.0
classifi,41.0,41.0,0.0,0.0
dover,41.0,41.0,0.0,0.0
fallen,41.0,41.0,0.0,0.0
feather,41.0,41.0,0.0,0.0
flock,41.0,41.0,0.0,0.0
formalis,41.0,41.0,0.0,0.0
jammer,41.0,41.0,0.0,0.0
synergist,41.0,41.0,0.0,0.0
ta,41.0,41.0,0.0,0.0
type=allinon,41.0,41.0,0.0,0.0
wang,41.0,41.0,0.0,0.0
|last=kristel,41.0,41.0,0.0,0.0
critic,40.0,40.0,0.0,0.0
instant,40.0,40.0,0.0,0.0
ritualis,40.0,40.0,0.0,0.0
sh,40.0,40.0,0.0,0.0
sleep,40.0,40.0,0.0,0.0
uidaodjsdsew.gif|200px|thumb|right|a,40.0,40.0,0.0,0.0
//www.chabad.org/article.asp,39.0,39.0,0.0,0.0
10,39.0,39.0,0.0,0.0
aid=42538,39.0,39.0,0.0,0.0
basis===,39.0,39.0,0.0,0.0
d.,39.0,39.0,0.0,0.0
doctor’,39.0,39.0,0.0,0.0
e.g.,39.0,39.0,0.0,0.0
evolv,39.0,39.0,0.0,0.0
inner,39.0,39.0,0.0,0.0
mainten,39.0,39.0,0.0,0.0
pop,39.0,39.0,0.0,0.0
signifi,39.0,39.0,0.0,0.0
supervis,39.0,39.0,0.0,0.0
yi,39.0,39.0,0.0,0.0
“rais,39.0,39.0,0.0,0.0
*the,38.0,38.0,0.0,0.0
0-486-40689-x,38.0,38.0,0.0,0.0
29233,38.0,38.0,0.0,0.0
agre,38.0,38.0,0.0,0.0
behaviour,38.0,38.0,0.0,0.0
marri,38.0,38.0,0.0,0.0
raphael,38.0,38.0,0.0,0.0
58,37.0,37.0,0.0,0.0
6,37.0,37.0,0.0,0.0
==notes==,37.0,37.0,0.0,0.0
na,37.0,37.0,0.0,0.0
حب,37.0,37.0,0.0,0.0
''intimaci,36.0,36.0,0.0,0.0
13:4-8,36.0,36.0,0.0,0.0
4:8,36.0,36.0,0.0,0.0
===theological===,36.0,36.0,0.0,0.0
astart,36.0,36.0,0.0,0.0
babylonian,36.0,36.0,0.0,0.0
bdnf,36.0,36.0,0.0,0.0
canaanit,36.0,36.0,0.0,0.0
groups.,36.0,36.0,0.0,0.0
haniel,36.0,36.0,0.0,0.0
inanna,36.0,36.0,0.0,0.0
ishtar,36.0,36.0,0.0,0.0
mihr,36.0,36.0,0.0,0.0
monotheist,36.0,36.0,0.0,0.0
mythogi,36.0,36.0,0.0,0.0
notabl,36.0,36.0,0.0,0.0
nt-3,36.0,36.0,0.0,0.0
nt-4,36.0,36.0,0.0,0.0
philoxenia,36.0,36.0,0.0,0.0
sake,36.0,36.0,0.0,0.0
stay,36.0,36.0,0.0,0.0
sumerian,36.0,36.0,0.0,0.0
|haniel,36.0,36.0,0.0,0.0
í,36.0,36.0,0.0,0.0
ē,36.0,36.0,0.0,0.0
//www.capezone.com/love.html,35.0,35.0,0.0,0.0
fa,35.0,35.0,0.0,0.0
johnson,35.0,35.0,0.0,0.0
lot,35.0,35.0,0.0,0.0
nation,35.0,35.0,0.0,0.0
rose,35.0,35.0,0.0,0.0
sensou,35.0,35.0,0.0,0.0
á,35.0,35.0,0.0,0.0
ō,35.0,35.0,0.0,0.0
α,35.0,35.0,0.0,0.0
γ,35.0,35.0,0.0,0.0
πη,35.0,35.0,0.0,0.0
ρως,35.0,35.0,0.0,0.0
'commit,34.0,34.0,0.0,0.0
'intimaci,34.0,34.0,0.0,0.0
'passion,34.0,34.0,0.0,0.0
24651,34.0,34.0,0.0,0.0
archeolog,34.0,34.0,0.0,0.0
bat-smg,34.0,34.0,0.0,0.0
bottom,34.0,34.0,0.0,0.0
dissolut,34.0,34.0,0.0,0.0
generos,34.0,34.0,0.0,0.0
mo,34.0,34.0,0.0,0.0
napl,34.0,34.0,0.0,0.0
search,34.0,34.0,0.0,0.0
swansheart.jpg|thumb|300px|right,34.0,34.0,0.0,0.0
weasel,34.0,34.0,0.0,0.0
zh-yue,34.0,34.0,0.0,0.0
عشق,34.0,34.0,0.0,0.0
//dictionary.reference.com/browse/lov,33.0,33.0,0.0,0.0
0140449183,33.0,33.0,0.0,0.0
0691020108,33.0,33.0,0.0,0.0
dont,33.0,33.0,0.0,0.0
fatherli,33.0,33.0,0.0,0.0
hyper-r,33.0,33.0,0.0,0.0
khuyay,33.0,33.0,0.0,0.0
maitrī,33.0,33.0,0.0,0.0
pompeiian,33.0,33.0,0.0,0.0
qu,33.0,33.0,0.0,0.0
uk,33.0,33.0,0.0,0.0
utc,33.0,33.0,0.0,0.0
//www.quotesandpoem.com/poems/selectedpoetrytopic/love_,32.0,32.0,0.0,0.0
_romanc,32.0,32.0,0.0,0.0
admiration|admir,32.0,32.0,0.0,0.0
care|car,32.0,32.0,0.0,0.0
cross,32.0,32.0,0.0,0.0
difficulti,32.0,32.0,0.0,0.0
enough,32.0,32.0,0.0,0.0
headlin,32.0,32.0,0.0,0.0
im,32.0,32.0,0.0,0.0
lore,32.0,32.0,0.0,0.0
n,32.0,32.0,0.0,0.0
reproduction|procr,32.0,32.0,0.0,0.0
roughli,32.0,32.0,0.0,0.0
teach,32.0,32.0,0.0,0.0
thank,32.0,32.0,0.0,0.0
2,31.0,31.0,0.0,0.0
better,31.0,31.0,0.0,0.0
entri,31.0,31.0,0.0,0.0
father,31.0,31.0,0.0,0.0
slater,31.0,31.0,0.0,0.0
tackl,31.0,31.0,0.0,0.0
''chines,30.0,30.0,0.0,0.0
====karu,30.0,30.0,0.0,0.0
endless,30.0,30.0,0.0,0.0
health,30.0,30.0,0.0,0.0
luba,30.0,30.0,0.0,0.0
matur,30.0,30.0,0.0,0.0
quong,30.0,30.0,0.0,0.0
relationship|interperson,30.0,30.0,0.0,0.0
zi,30.0,30.0,0.0,0.0
“love,30.0,30.0,0.0,0.0
1073,29.0,29.0,0.0,0.0
1488,29.0,29.0,0.0,0.0
1489,29.0,29.0,0.0,0.0
===psycholog,29.0,29.0,0.0,0.0
cquote|plac,29.0,29.0,0.0,0.0
demonstr,29.0,29.0,0.0,0.0
desu,29.0,29.0,0.0,0.0
epitomi,29.0,29.0,0.0,0.0
godli,29.0,29.0,0.0,0.0
heterosexu,29.0,29.0,0.0,0.0
linguist,29.0,29.0,0.0,0.0
“love”,29.0,29.0,0.0,0.0
//plato.stanford.edu/entries/love/,28.0,28.0,0.0,0.0
13:4-7,28.0,28.0,0.0,0.0
aesthet,28.0,28.0,0.0,0.0
cquote|lov,28.0,28.0,0.0,0.0
f=fals,28.0,28.0,0.0,0.0
font-size:85,28.0,28.0,0.0,0.0
infanc,28.0,28.0,0.0,0.0
iu,28.0,28.0,0.0,0.0
neighbour,28.0,28.0,0.0,0.0
relationships.,28.0,28.0,0.0,0.0
rever,28.0,28.0,0.0,0.0
stanford,28.0,28.0,0.0,0.0
testifi,28.0,28.0,0.0,0.0
v=onepag,28.0,28.0,0.0,0.0
youngster,28.0,28.0,0.0,0.0
''suki,27.0,27.0,0.0,0.0
1074,27.0,27.0,0.0,0.0
13:4-7|,27.0,27.0,0.0,0.0
==philosoph,27.0,27.0,0.0,0.0
amuri,27.0,27.0,0.0,0.0
decreas,27.0,27.0,0.0,0.0
del,27.0,27.0,0.0,0.0
eros_,27.0,27.0,0.0,0.0
expo,27.0,27.0,0.0,0.0
ignor,27.0,27.0,0.0,0.0
inhibit,27.0,27.0,0.0,0.0
lack,27.0,27.0,0.0,0.0
land,27.0,27.0,0.0,0.0
scn,27.0,27.0,0.0,0.0
suck,27.0,27.0,0.0,0.0
''that,26.0,26.0,0.0,0.0
//www.healthnewsblog.com,26.0,26.0,0.0,0.0
12–24,26.0,26.0,0.0,0.0
87,26.0,26.0,0.0,0.0
amount,26.0,26.0,0.0,0.0
antidepress,26.0,26.0,0.0,0.0
dissimular,26.0,26.0,0.0,0.0
enumer,26.0,26.0,0.0,0.0
fiction,26.0,26.0,0.0,0.0
heinlein,26.0,26.0,0.0,0.0
indistinguish,26.0,26.0,0.0,0.0
months—maintain,26.0,26.0,0.0,0.0
prolif,26.0,26.0,0.0,0.0
sem,26.0,26.0,0.0,0.0
who—aft,26.0,26.0,0.0,0.0
காதல்,26.0,26.0,0.0,0.0
ᑕᑯᑦᓱᒍᓱᑉᐳᖅ/takutsugusuppuq,26.0,26.0,0.0,0.0
'absolut,25.0,25.0,0.0,0.0
're,25.0,25.0,0.0,0.0
//www.true-love-relationship-advice.com/true-love.html,25.0,25.0,0.0,0.0
0.001,25.0,25.0,0.0,0.0
123,25.0,25.0,0.0,0.0
149,25.0,25.0,0.0,0.0
227,25.0,25.0,0.0,0.0
39,25.0,25.0,0.0,0.0
align=,25.0,25.0,0.0,0.0
ass,25.0,25.0,0.0,0.0
correl,25.0,25.0,0.0,0.0
detect,25.0,25.0,0.0,0.0
ga,25.0,25.0,0.0,0.0
genuin,25.0,25.0,0.0,0.0
i.e.,25.0,25.0,0.0,0.0
impli,25.0,25.0,0.0,0.0
long-last,25.0,25.0,0.0,0.0
nt,25.0,25.0,0.0,0.0
p=0.007,25.0,25.0,0.0,0.0
pad,25.0,25.0,0.0,0.0
r=0.34,25.0,25.0,0.0,0.0
tragedi,25.0,25.0,0.0,0.0
vandal,25.0,25.0,0.0,0.0
0854048677,24.0,24.0,0.0,0.0
2008,24.0,24.0,0.0,0.0
bird,24.0,24.0,0.0,0.0
cdo,24.0,24.0,0.0,0.0
engin,24.0,24.0,0.0,0.0
founder,24.0,24.0,0.0,0.0
self-lov,24.0,24.0,0.0,0.0
shiteiru,24.0,24.0,0.0,0.0
uidaodjsdsew.gif|thumb|right|th,24.0,24.0,0.0,0.0
worldwid,24.0,24.0,0.0,0.0
ái,24.0,24.0,0.0,0.0
-phil-,23.0,23.0,0.0,0.0
1102,23.0,23.0,0.0,0.0
82o,23.0,23.0,0.0,0.0
9b,23.0,23.0,0.0,0.0
again,23.0,23.0,0.0,0.0
background,23.0,23.0,0.0,0.0
bilater,23.0,23.0,0.0,0.0
c4,23.0,23.0,0.0,0.0
devote,23.0,23.0,0.0,0.0
erotic,23.0,23.0,0.0,0.0
formal,23.0,23.0,0.0,0.0
harm,23.0,23.0,0.0,0.0
heavili,23.0,23.0,0.0,0.0
ideolog,23.0,23.0,0.0,0.0
karunā,23.0,23.0,0.0,0.0
lauren,23.0,23.0,0.0,0.0
lumin,23.0,23.0,0.0,0.0
othello,23.0,23.0,0.0,0.0
qualiti,23.0,23.0,0.0,0.0
resent,23.0,23.0,0.0,0.0
sattva,23.0,23.0,0.0,0.0
sattva—pur,23.0,23.0,0.0,0.0
selflessli,23.0,23.0,0.0,0.0
sevgi,23.0,23.0,0.0,0.0
sorrow—bind,23.0,23.0,0.0,0.0
speaker,23.0,23.0,0.0,0.0
tone,23.0,23.0,0.0,0.0
/blockquot,22.0,22.0,0.0,0.0
11,22.0,22.0,0.0,0.0
ador,22.0,22.0,0.0,0.0
and/or,22.0,22.0,0.0,0.0
anna,22.0,22.0,0.0,0.0
ate,22.0,22.0,0.0,0.0
blockquot,22.0,22.0,0.0,0.0
constru,22.0,22.0,0.0,0.0
formula,22.0,22.0,0.0,0.0
gain,22.0,22.0,0.0,0.0
hci,22.0,22.0,0.0,0.0
hcii,22.0,22.0,0.0,0.0
indefin,22.0,22.0,0.0,0.0
infobox,22.0,22.0,0.0,0.0
jame,22.0,22.0,0.0,0.0
lulu,22.0,22.0,0.0,0.0
other-regard,22.0,22.0,0.0,0.0
paragraph,22.0,22.0,0.0,0.0
scholar,22.0,22.0,0.0,0.0
seretonin,22.0,22.0,0.0,0.0
surrend,22.0,22.0,0.0,0.0
tennis|tenni,22.0,22.0,0.0,0.0
valuabl,22.0,22.0,0.0,0.0
ya,22.0,22.0,0.0,0.0
|raphael,22.0,22.0,0.0,0.0
*attach,21.0,21.0,0.0,0.0
assumpt,21.0,21.0,0.0,0.0
confus,21.0,21.0,0.0,0.0
deleuz,21.0,21.0,0.0,0.0
fourth,21.0,21.0,0.0,0.0
friedrich,21.0,21.0,0.0,0.0
gratuit,21.0,21.0,0.0,0.0
insinu,21.0,21.0,0.0,0.0
italy|italian,21.0,21.0,0.0,0.0
kelli,21.0,21.0,0.0,0.0
lufu,21.0,21.0,0.0,0.0
mask,21.0,21.0,0.0,0.0
non-exist,21.0,21.0,0.0,0.0
overshadow,21.0,21.0,0.0,0.0
postul,21.0,21.0,0.0,0.0
star,21.0,21.0,0.0,0.0
stubsect,21.0,21.0,0.0,0.0
tangenti,21.0,21.0,0.0,0.0
trim,21.0,21.0,0.0,0.0
warm,21.0,21.0,0.0,0.0
william,21.0,21.0,0.0,0.0
authent,20.0,20.0,0.0,0.0
contact,20.0,20.0,0.0,0.0
daniel,20.0,20.0,0.0,0.0
down,20.0,20.0,0.0,0.0
ep,20.0,20.0,0.0,0.0
export,20.0,20.0,0.0,0.0
hurt,20.0,20.0,0.0,0.0
jone,20.0,20.0,0.0,0.0
kjv,20.0,20.0,0.0,0.0
rejoiceth,20.0,20.0,0.0,0.0
''usa,19.0,19.0,0.0,0.0
1051,19.0,19.0,0.0,0.0
1086,19.0,19.0,0.0,0.0
1100,19.0,19.0,0.0,0.0
==human,19.0,19.0,0.0,0.0
aaaahaaaaaaaahaaaaaaaaaaaaaaaaahahahahahahaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,19.0,19.0,0.0,0.0
arama,19.0,19.0,0.0,0.0
attract”,19.0,19.0,0.0,0.0
began,19.0,19.0,0.0,0.0
bonding==,19.0,19.0,0.0,0.0
dadcean,19.0,19.0,0.0,0.0
defens,19.0,19.0,0.0,0.0
empedocles’,19.0,19.0,0.0,0.0
favorit,19.0,19.0,0.0,0.0
folk,19.0,19.0,0.0,0.0
freedom,19.0,19.0,0.0,0.0
friendli,19.0,19.0,0.0,0.0
friendships”,19.0,19.0,0.0,0.0
hard,19.0,19.0,0.0,0.0
"however,",19.0,19.0,0.0,0.0
kill,19.0,19.0,0.0,0.0
klimt,19.0,19.0,0.0,0.0
kyle,19.0,19.0,0.0,0.0
libhoun,19.0,19.0,0.0,0.0
mainli,19.0,19.0,0.0,0.0
main|human,19.0,19.0,0.0,0.0
maitr,19.0,19.0,0.0,0.0
rukha,19.0,19.0,0.0,0.0
shakespear,19.0,19.0,0.0,0.0
sight”,19.0,19.0,0.0,0.0
sign,19.0,19.0,0.0,0.0
together”,19.0,19.0,0.0,0.0
unfinish,19.0,19.0,0.0,0.0
untranslat,19.0,19.0,0.0,0.0
usa,19.0,19.0,0.0,0.0
whom,19.0,19.0,0.0,0.0
yet,19.0,19.0,0.0,0.0
|class=,19.0,19.0,0.0,0.0
“bird,19.0,19.0,0.0,0.0
“instant,19.0,19.0,0.0,0.0
“like,19.0,19.0,0.0,0.0
28mytholog,18.0,18.0,0.0,0.0
90,18.0,18.0,0.0,0.0
crucifixion,18.0,18.0,0.0,0.0
di,18.0,18.0,0.0,0.0
ejacul,18.0,18.0,0.0,0.0
except,18.0,18.0,0.0,0.0
guy,18.0,18.0,0.0,0.0
ich,18.0,18.0,0.0,0.0
januari,18.0,18.0,0.0,0.0
joy,18.0,18.0,0.0,0.0
libet,18.0,18.0,0.0,0.0
lose,18.0,18.0,0.0,0.0
propheci,18.0,18.0,0.0,0.0
shine,18.0,18.0,0.0,0.0
signif,18.0,18.0,0.0,0.0
size,18.0,18.0,0.0,0.0
tale,18.0,18.0,0.0,0.0
trait,18.0,18.0,0.0,0.0
uidaodjsdsew.gif|200px|thumb|right|th,18.0,18.0,0.0,0.0
'favour,17.0,17.0,0.0,0.0
//books.google.co.uk/book,17.0,17.0,0.0,0.0
//www.bestlovepoems.net/,17.0,17.0,0.0,0.0
//www.onlylovequotes.com,17.0,17.0,0.0,0.0
29|ero,17.0,17.0,0.0,0.0
ado,17.0,17.0,0.0,0.0
anthoni,17.0,17.0,0.0,0.0
anymor,17.0,17.0,0.0,0.0
blue,17.0,17.0,0.0,0.0
break,17.0,17.0,0.0,0.0
capit,17.0,17.0,0.0,0.0
chees,17.0,17.0,0.0,0.0
convers,17.0,17.0,0.0,0.0
dystheism,17.0,17.0,0.0,0.0
edf3f,17.0,17.0,0.0,0.0
euphem,17.0,17.0,0.0,0.0
eye,17.0,17.0,0.0,0.0
fairi,17.0,17.0,0.0,0.0
hl=en,17.0,17.0,0.0,0.0
inevit,17.0,17.0,0.0,0.0
limit,17.0,17.0,0.0,0.0
lubet,17.0,17.0,0.0,0.0
maltheism|eutheist,17.0,17.0,0.0,0.0
museum.jpg|thumb|left|150px|,17.0,17.0,0.0,0.0
narada,17.0,17.0,0.0,0.0
nowaday,17.0,17.0,0.0,0.0
occour,17.0,17.0,0.0,0.0
perspect,17.0,17.0,0.0,0.0
quickli,17.0,17.0,0.0,0.0
suffici,17.0,17.0,0.0,0.0
wait,17.0,17.0,0.0,0.0
19:06,16.0,16.0,0.0,0.0
2001,16.0,16.0,0.0,0.0
amen,16.0,16.0,0.0,0.0
antiqu,16.0,16.0,0.0,0.0
civil,16.0,16.0,0.0,0.0
complimentari,16.0,16.0,0.0,0.0
divorc,16.0,16.0,0.0,0.0
doi,16.0,16.0,0.0,0.0
eat,16.0,16.0,0.0,0.0
eric,16.0,16.0,0.0,0.0
fun,16.0,16.0,0.0,0.0
hinderi,16.0,16.0,0.0,0.0
indoctrin,16.0,16.0,0.0,0.0
ivi,16.0,16.0,0.0,0.0
mad,16.0,16.0,0.0,0.0
madli,16.0,16.0,0.0,0.0
messag,16.0,16.0,0.0,0.0
minut,16.0,16.0,0.0,0.0
nathaniel,16.0,16.0,0.0,0.0
note:,16.0,16.0,0.0,0.0
pyar,16.0,16.0,0.0,0.0
question,16.0,16.0,0.0,0.0
roderick,16.0,16.0,0.0,0.0
scholarli,16.0,16.0,0.0,0.0
self-decept,16.0,16.0,0.0,0.0
sexolog,16.0,16.0,0.0,0.0
sin,16.0,16.0,0.0,0.0
stand,16.0,16.0,0.0,0.0
twine,16.0,16.0,0.0,0.0
uidaodjsdsew.gif|thumb|left|th,16.0,16.0,0.0,0.0
uidaodjsdsew.gif|thumb|right|a,16.0,16.0,0.0,0.0
ur,16.0,16.0,0.0,0.0
ā,16.0,16.0,0.0,0.0
//www.youtube.com/v/ggg5z9uhfak,15.0,15.0,0.0,0.0
====adv,15.0,15.0,0.0,0.0
====ahava====,15.0,15.0,0.0,0.0
====ishq====,15.0,15.0,0.0,0.0
====nomos====,15.0,15.0,0.0,0.0
====xenia====,15.0,15.0,0.0,0.0
====yuanfen====,15.0,15.0,0.0,0.0
alongsid,15.0,15.0,0.0,0.0
assert,15.0,15.0,0.0,0.0
behalf,15.0,15.0,0.0,0.0
believeth,15.0,15.0,0.0,0.0
bigger,15.0,15.0,0.0,0.0
canticl,15.0,15.0,0.0,0.0
classif,15.0,15.0,0.0,0.0
color,15.0,15.0,0.0,0.0
conflict,15.0,15.0,0.0,0.0
criterion,15.0,15.0,0.0,0.0
donquel,15.0,15.0,0.0,0.0
dq=,15.0,15.0,0.0,0.0
etcetera,15.0,15.0,0.0,0.0
example.jpg,15.0,15.0,0.0,0.0
geograph,15.0,15.0,0.0,0.0
inclin,15.0,15.0,0.0,0.0
jealousi,15.0,15.0,0.0,0.0
lifetim,15.0,15.0,0.0,0.0
love|thre,15.0,15.0,0.0,0.0
moment,15.0,15.0,0.0,0.0
obvious,15.0,15.0,0.0,0.0
ocd,15.0,15.0,0.0,0.0
q,15.0,15.0,0.0,0.0
rahmiel,15.0,15.0,0.0,0.0
ration,15.0,15.0,0.0,0.0
sarah,15.0,15.0,0.0,0.0
saya,15.0,15.0,0.0,0.0
selfish|self-cent,15.0,15.0,0.0,0.0
seri,15.0,15.0,0.0,0.0
theliel,15.0,15.0,0.0,0.0
''commitment-stag,14.0,14.0,0.0,0.0
''intimacy-stag,14.0,14.0,0.0,0.0
''passion-stag,14.0,14.0,0.0,0.0
'm,14.0,14.0,0.0,0.0
apex-triangl,14.0,14.0,0.0,0.0
authorit,14.0,14.0,0.0,0.0
bettencourt,14.0,14.0,0.0,0.0
ceas,14.0,14.0,0.0,0.0
ch,14.0,14.0,0.0,0.0
coaster,14.0,14.0,0.0,0.0
conquest,14.0,14.0,0.0,0.0
dich,14.0,14.0,0.0,0.0
dimens,14.0,14.0,0.0,0.0
dog,14.0,14.0,0.0,0.0
dom,14.0,14.0,0.0,0.0
evolut,14.0,14.0,0.0,0.0
float,14.0,14.0,0.0,0.0
gill,14.0,14.0,0.0,0.0
inform,14.0,14.0,0.0,0.0
je,14.0,14.0,0.0,0.0
leav,14.0,14.0,0.0,0.0
left-shift,14.0,14.0,0.0,0.0
love-zh.svg|180px|thumb|th,14.0,14.0,0.0,0.0
main|interperson,14.0,14.0,0.0,0.0
manifest,14.0,14.0,0.0,0.0
massag,14.0,14.0,0.0,0.0
mergefrom|tru,14.0,14.0,0.0,0.0
mike,14.0,14.0,0.0,0.0
minor,14.0,14.0,0.0,0.0
miss,14.0,14.0,0.0,0.0
obsessive-compuls,14.0,14.0,0.0,0.0
partnership,14.0,14.0,0.0,0.0
percept,14.0,14.0,0.0,0.0
q=,14.0,14.0,0.0,0.0
right-shift,14.0,14.0,0.0,0.0
roller,14.0,14.0,0.0,0.0
ryan,14.0,14.0,0.0,0.0
sa=x,14.0,14.0,0.0,0.0
ssri,14.0,14.0,0.0,0.0
stop,14.0,14.0,0.0,0.0
substanc,14.0,14.0,0.0,0.0
ten,14.0,14.0,0.0,0.0
thrive,14.0,14.0,0.0,0.0
video,14.0,14.0,0.0,0.0
wan,14.0,14.0,0.0,0.0
ways:,14.0,14.0,0.0,0.0
went,14.0,14.0,0.0,0.0
young,14.0,14.0,0.0,0.0
youtub,14.0,14.0,0.0,0.0
''sayang,13.0,13.0,0.0,0.0
''see,13.0,13.0,0.0,0.0
*novelti,13.0,13.0,0.0,0.0
//www.heavenonastick.com/whatididforlove/,13.0,13.0,0.0,0.0
21,13.0,13.0,0.0,0.0
38,13.0,13.0,0.0,0.0
aryan,13.0,13.0,0.0,0.0
bad,13.0,13.0,0.0,0.0
big,13.0,13.0,0.0,0.0
bipart,13.0,13.0,0.0,0.0
case:,13.0,13.0,0.0,0.0
color=,13.0,13.0,0.0,0.0
compos,13.0,13.0,0.0,0.0
edg,13.0,13.0,0.0,0.0
etymolog,13.0,13.0,0.0,0.0
f.v,13.0,13.0,0.0,0.0
gustav,13.0,13.0,0.0,0.0
hello,13.0,13.0,0.0,0.0
hetero-,13.0,13.0,0.0,0.0
homo-sexu,13.0,13.0,0.0,0.0
kid,13.0,13.0,0.0,0.0
kita,13.0,13.0,0.0,0.0
label,13.0,13.0,0.0,0.0
laura,13.0,13.0,0.0,0.0
lennon,13.0,13.0,0.0,0.0
lost,13.0,13.0,0.0,0.0
louvel,13.0,13.0,0.0,0.0
luvu,13.0,13.0,0.0,0.0
michel,13.0,13.0,0.0,0.0
models===,13.0,13.0,0.0,0.0
nick,13.0,13.0,0.0,0.0
o,13.0,13.0,0.0,0.0
particip,13.0,13.0,0.0,0.0
pluralist,13.0,13.0,0.0,0.0
points:,13.0,13.0,0.0,0.0
postfix,13.0,13.0,0.0,0.0
renew,13.0,13.0,0.0,0.0
retriev,13.0,13.0,0.0,0.0
self-sacrific,13.0,13.0,0.0,0.0
self-understand,13.0,13.0,0.0,0.0
sevi,13.0,13.0,0.0,0.0
steinberg,13.0,13.0,0.0,0.0
sure,13.0,13.0,0.0,0.0
ti,13.0,13.0,0.0,0.0
unseen,13.0,13.0,0.0,0.0
vagin,13.0,13.0,0.0,0.0
various,13.0,13.0,0.0,0.0
whole-heart,13.0,13.0,0.0,0.0
wonder,13.0,13.0,0.0,0.0
y,13.0,13.0,0.0,0.0
|carita,13.0,13.0,0.0,0.0
דודי,13.0,13.0,0.0,0.0
ואני,13.0,13.0,0.0,0.0
לו,13.0,13.0,0.0,0.0
לי,13.0,13.0,0.0,0.0
''aijin,12.0,12.0,0.0,0.0
''koibito,12.0,12.0,0.0,0.0
''oya,12.0,12.0,0.0,0.0
''psycholog,12.0,12.0,0.0,0.0
''sushi,12.0,12.0,0.0,0.0
.in,12.0,12.0,0.0,0.0
amanda,12.0,12.0,0.0,0.0
anson,12.0,12.0,0.0,0.0
bell,12.0,12.0,0.0,0.0
bitch,12.0,12.0,0.0,0.0
branden,12.0,12.0,0.0,0.0
bring,12.0,12.0,0.0,0.0
brittani,12.0,12.0,0.0,0.0
bryant,12.0,12.0,0.0,0.0
clitori,12.0,12.0,0.0,0.0
cock,12.0,12.0,0.0,0.0
comment,12.0,12.0,0.0,0.0
commitment|decision/commit,12.0,12.0,0.0,0.0
conjug,12.0,12.0,0.0,0.0
connected,12.0,12.0,0.0,0.0
cri,12.0,12.0,0.0,0.0
dieti,12.0,12.0,0.0,0.0
dilig,12.0,12.0,0.0,0.0
dilut,12.0,12.0,0.0,0.0
dot,12.0,12.0,0.0,0.0
emma,12.0,12.0,0.0,0.0
exagger,12.0,12.0,0.0,0.0
extra-marit,12.0,12.0,0.0,0.0
f,12.0,12.0,0.0,0.0
featur,12.0,12.0,0.0,0.0
geometr,12.0,12.0,0.0,0.0
guattari,12.0,12.0,0.0,0.0
hook,12.0,12.0,0.0,0.0
hungri,12.0,12.0,0.0,0.0
illicit,12.0,12.0,0.0,0.0
insert,12.0,12.0,0.0,0.0
leubh,12.0,12.0,0.0,0.0
lol,12.0,12.0,0.0,0.0
lunchbox010189:,12.0,12.0,0.0,0.0
mellen,12.0,12.0,0.0,0.0
network,12.0,12.0,0.0,0.0
non-romant,12.0,12.0,0.0,0.0
pictori,12.0,12.0,0.0,0.0
poor,12.0,12.0,0.0,0.0
puf,12.0,12.0,0.0,0.0
quotat,12.0,12.0,0.0,0.0
rachel,12.0,12.0,0.0,0.0
sent,12.0,12.0,0.0,0.0
southeast,12.0,12.0,0.0,0.0
suru,12.0,12.0,0.0,0.0
sushi,12.0,12.0,0.0,0.0
vertic,12.0,12.0,0.0,0.0
“amount”,12.0,12.0,0.0,0.0
“kind”,12.0,12.0,0.0,0.0
好き,12.0,12.0,0.0,0.0
好きです,12.0,12.0,0.0,0.0
寿司が好きです,12.0,12.0,0.0,0.0
