,count added,count deleted,added - deleted,abs(added - deleted)
doi|10.1111/j.1468-5906.2005.00289.x,33.0,31.0,2.0,2.0
rather,33.0,31.0,2.0,2.0
shermer,33.0,31.0,2.0,2.0
kind,32.0,30.0,2.0,2.0
lend,32.0,30.0,2.0,2.0
lot,32.0,30.0,2.0,2.0
pp,32.0,30.0,2.0,2.0
realist,32.0,30.0,2.0,2.0
tell,32.0,30.0,2.0,2.0
vicari,32.0,30.0,2.0,2.0
10.1177/0093854806293485,31.0,29.0,2.0,2.0
1975,31.0,29.0,2.0,2.0
co.,31.0,29.0,2.0,2.0
religion|religi,31.0,33.0,-2.0,2.0
aker,30.0,28.0,2.0,2.0
burton,30.0,28.0,2.0,2.0
dunaway,30.0,28.0,2.0,2.0
histor,30.0,28.0,2.0,2.0
kethineni,30.0,28.0,2.0,2.0
payn,30.0,28.0,2.0,2.0
seri,30.0,28.0,2.0,2.0
westermarck,30.0,28.0,2.0,2.0
countri,29.0,27.0,2.0,2.0
theorist,29.0,27.0,2.0,2.0
cquote|,28.0,26.0,2.0,2.0
eleph,28.0,26.0,2.0,2.0
old,28.0,26.0,2.0,2.0
peterson,28.0,26.0,2.0,2.0
self-ident,28.0,26.0,2.0,2.0
seligman,28.0,26.0,2.0,2.0
stephen,28.0,26.0,2.0,2.0
circumst,27.0,25.0,2.0,2.0
examin,27.0,25.0,2.0,2.0
piaget,27.0,25.0,2.0,2.0
0-8446-2990-1,26.0,24.0,2.0,2.0
custom,26.0,24.0,2.0,2.0
januari,26.0,24.0,2.0,2.0
lower,26.0,24.0,2.0,2.0
prefront,26.0,24.0,2.0,2.0
|pmid=16033635,26.0,24.0,2.0,2.0
|year=2005,26.0,24.0,2.0,2.0
hume,25.0,23.0,2.0,2.0
improv,25.0,23.0,2.0,2.0
investig,25.0,23.0,2.0,2.0
pierc,25.0,23.0,2.0,2.0
''invers,24.0,22.0,2.0,2.0
david,24.0,22.0,2.0,2.0
delus,24.0,22.0,2.0,2.0
domain.,24.0,26.0,-2.0,2.0
high,24.0,22.0,2.0,2.0
monotheist,24.0,22.0,2.0,2.0
novemb,24.0,22.0,2.0,2.0
978-0-19-280442-6|pages=,23.0,21.0,2.0,2.0
dawkin,23.0,21.0,2.0,2.0
richard,23.0,21.0,2.0,2.0
robust,23.0,21.0,2.0,2.0
''mind,22.0,20.0,2.0,2.0
2010-09-09,22.0,20.0,2.0,2.0
bekoff,22.0,20.0,2.0,2.0
chicago,22.0,20.0,2.0,2.0
hundr,22.0,20.0,2.0,2.0
jessica,22.0,20.0,2.0,2.0
terenc,22.0,20.0,2.0,2.0
|ideal,22.0,24.0,-2.0,2.0
greatest,21.0,19.0,2.0,2.0
pertain,21.0,19.0,2.0,2.0
pmid,21.0,19.0,2.0,2.0
puriti,21.0,19.0,2.0,2.0
theistic,21.0,19.0,2.0,2.0
|last1=,21.0,19.0,2.0,2.0
1990,20.0,18.0,2.0,2.0
capo,20.0,18.0,2.0,2.0
fire,20.0,18.0,2.0,2.0
portabl,20.0,18.0,2.0,2.0
rais,20.0,18.0,2.0,2.0
subjectiv,20.0,18.0,2.0,2.0
threaten,20.0,18.0,2.0,2.0
away,19.0,17.0,2.0,2.0
defend,19.0,17.0,2.0,2.0
discrimin,19.0,17.0,2.0,2.0
europ,19.0,17.0,2.0,2.0
junction,19.0,17.0,2.0,2.0
magnet,19.0,17.0,2.0,2.0
transcrani,19.0,17.0,2.0,2.0
978-0-19-280442-6|page=,18.0,16.0,2.0,2.0
broadli,18.0,16.0,2.0,2.0
harsh,18.0,16.0,2.0,2.0
megan-jan,18.0,16.0,2.0,2.0
taboo,18.0,16.0,2.0,2.0
temporopariet,18.0,16.0,2.0,2.0
agnost,17.0,15.0,2.0,2.0
citat,17.0,15.0,2.0,2.0
contemporari,17.0,15.0,2.0,2.0
dure,17.0,15.0,2.0,2.0
file,17.0,15.0,2.0,2.0
location=baltimor,17.0,15.0,2.0,2.0
|last=,17.0,15.0,2.0,2.0
anderson,16.0,14.0,2.0,2.0
bioethic,16.0,14.0,2.0,2.0
elizabeth,16.0,14.0,2.0,2.0
first=gregori,16.0,14.0,2.0,2.0
inc.,16.0,14.0,2.0,2.0
infanticid,16.0,14.0,2.0,2.0
last=paul|,16.0,14.0,2.0,2.0
lawrenc,16.0,14.0,2.0,2.0
random,16.0,14.0,2.0,2.0
self-evid,16.0,14.0,2.0,2.0
self-imag,16.0,14.0,2.0,2.0
six,16.0,14.0,2.0,2.0
volume=7|pag,16.0,14.0,2.0,2.0
znet,16.0,14.0,2.0,2.0
|author=,16.0,14.0,2.0,2.0
|issue=,16.0,14.0,2.0,2.0
===moral,15.0,13.0,2.0,2.0
columbia,15.0,13.0,2.0,2.0
lian,15.0,13.0,2.0,2.0
morality==,15.0,17.0,-2.0,2.0
neurosci,15.0,13.0,2.0,2.0
overal,15.0,13.0,2.0,2.0
probabl,15.0,13.0,2.0,2.0
|edition=,15.0,13.0,2.0,2.0
|first1=,15.0,13.0,2.0,2.0
|first2=,15.0,13.0,2.0,2.0
|first3=,15.0,13.0,2.0,2.0
|isbn=,15.0,13.0,2.0,2.0
|last3=,15.0,13.0,2.0,2.0
*johnson,14.0,12.0,2.0,2.0
1964,14.0,12.0,2.0,2.0
author=conroy,14.0,12.0,2.0,2.0
barbara,14.0,12.0,2.0,2.0
damasio,14.0,12.0,2.0,2.0
ethnocentr,14.0,12.0,2.0,2.0
prejudic,14.0,12.0,2.0,2.0
proceed,14.0,12.0,2.0,2.0
vmpc,14.0,12.0,2.0,2.0
april,13.0,11.0,2.0,2.0
cleanup-date|januari,13.0,11.0,2.0,2.0
colley1,13.0,11.0,2.0,2.0
confid,13.0,11.0,2.0,2.0
e.g.,13.0,11.0,2.0,2.0
enrichmentjournal1,13.0,11.0,2.0,2.0
hauser,13.0,11.0,2.0,2.0
kaznatcheev,13.0,11.0,2.0,2.0
score,13.0,11.0,2.0,2.0
section|date=jun,13.0,11.0,2.0,2.0
|first4=,13.0,11.0,2.0,2.0
|first5=,13.0,11.0,2.0,2.0
|last4=,13.0,11.0,2.0,2.0
|last5=,13.0,11.0,2.0,2.0
//espanol.apologeticspress.org/articles/240427|publisher=apologet,12.0,10.0,2.0,2.0
fine,12.0,10.0,2.0,2.0
scandinavia,12.0,10.0,2.0,2.0
underli,12.0,10.0,2.0,2.0
york|isbn=,12.0,10.0,2.0,2.0
978-0195376623,11.0,9.0,2.0,2.0
exercis,11.0,9.0,2.0,2.0
label|a|a|non,11.0,9.0,2.0,2.0
label|c|c|non,11.0,9.0,2.0,2.0
autogenerated2001,10.0,8.0,2.0,2.0
novella,10.0,8.0,2.0,2.0
prinz,10.0,8.0,2.0,2.0
refimprov,10.0,8.0,2.0,2.0
unshar,10.0,8.0,2.0,2.0
|pages=867-80,10.0,8.0,2.0,2.0
//enrichmentjournal.ag.org/201102/201102_108_slavery.htm.cfm|accessdate=2,9.0,7.0,2.0,2.0
10.1016/j.neuron.2010.03.003,9.0,7.0,2.0,2.0
edit,9.0,7.0,2.0,2.0
inhibit,9.0,7.0,2.0,2.0
web|last=copan|first=paul|url=http,9.0,7.0,2.0,2.0
wrong.,9.0,7.0,2.0,2.0
|religi,9.0,7.0,2.0,2.0
allegori,8.0,6.0,2.0,2.0
appeal,8.0,6.0,2.0,2.0
franc,8.0,6.0,2.0,2.0
leadership,8.0,6.0,2.0,2.0
morality|,8.0,10.0,-2.0,2.0
non-believ,8.0,6.0,2.0,2.0
stoler,8.0,6.0,2.0,2.0
tintoretto,8.0,6.0,2.0,2.0
//www.scientificamerican.com/article.cfm,7.0,5.0,2.0,2.0
benevol,7.0,5.0,2.0,2.0
id=license-to-sin,7.0,5.0,2.0,2.0
immoralist,7.0,5.0,2.0,2.0
jame,7.0,5.0,2.0,2.0
redirect2,7.0,5.0,2.0,2.0
unreferenc,7.0,5.0,2.0,2.0
psychology==,6.0,4.0,2.0,2.0
relativism|mor,6.0,8.0,-2.0,2.0
978-0748623303,5.0,3.0,2.0,2.0
eric,5.0,3.0,2.0,2.0
sub-group,5.0,7.0,-2.0,2.0
uses|appropri,5.0,3.0,2.0,2.0
vs.,5.0,7.0,-2.0,2.0
weber,5.0,3.0,2.0,2.0
www,5.0,3.0,2.0,2.0
//plato,4.0,2.0,2.0,2.0
"communities,",4.0,2.0,2.0,2.0
kurtz,4.0,2.0,2.0,2.0
18,3.0,1.0,2.0,2.0
1995,3.0,1.0,2.0,2.0
date=jun,3.0,5.0,-2.0,2.0
religion:,3.0,1.0,2.0,2.0
"social,",3.0,1.0,2.0,2.0
traditions.,3.0,1.0,2.0,2.0
|date=august,3.0,1.0,2.0,2.0
user:70.61.84.66|70.61.84.66,2.0,4.0,-2.0,2.0
doi|10,1.0,3.0,-2.0,2.0
"ethics,",1.0,3.0,-2.0,2.0
often,487.0,486.0,1.0,1.0
mean,245.0,244.0,1.0,1.0
life,229.0,228.0,1.0,1.0
definit,211.0,210.0,1.0,1.0
core,209.0,208.0,1.0,1.0
choic,201.0,200.0,1.0,1.0
part,187.0,186.0,1.0,1.0
divin,154.0,153.0,1.0,1.0
distinguish,145.0,144.0,1.0,1.0
appropri,139.0,140.0,-1.0,1.0
ration,134.0,133.0,1.0,1.0
conscienc,130.0,129.0,1.0,1.0
punish,129.0,128.0,1.0,1.0
discus,128.0,127.0,1.0,1.0
fundament,123.0,122.0,1.0,1.0
situat,122.0,121.0,1.0,1.0
against,119.0,118.0,1.0,1.0
islam,118.0,117.0,1.0,1.0
meta-eth,118.0,117.0,1.0,1.0
think,118.0,117.0,1.0,1.0
''moral,116.0,117.0,-1.0,1.0
case,116.0,117.0,-1.0,1.0
collect,112.0,111.0,1.0,1.0
imper,109.0,108.0,1.0,1.0
codifi,105.0,104.0,1.0,1.0
own,104.0,105.0,-1.0,1.0
caus,102.0,101.0,1.0,1.0
word,101.0,100.0,1.0,1.0
latter,100.0,99.0,1.0,1.0
could,99.0,98.0,1.0,1.0
johnson,96.0,95.0,1.0,1.0
impli,94.0,93.0,1.0,1.0
just,92.0,91.0,1.0,1.0
sexual,91.0,90.0,1.0,1.0
your,90.0,89.0,1.0,1.0
|norm,90.0,91.0,-1.0,1.0
assist,89.0,88.0,1.0,1.0
experi,89.0,88.0,1.0,1.0
great,88.0,87.0,1.0,1.0
throughout,88.0,87.0,1.0,1.0
becom,86.0,85.0,1.0,1.0
too,85.0,84.0,1.0,1.0
bat,84.0,83.0,1.0,1.0
requir,84.0,83.0,1.0,1.0
say,84.0,83.0,1.0,1.0
her,83.0,82.0,1.0,1.0
creat,82.0,81.0,1.0,1.0
due,81.0,80.0,1.0,1.0
therefor,81.0,80.0,1.0,1.0
constitut,80.0,79.0,1.0,1.0
acknowledg,79.0,78.0,1.0,1.0
specif,78.0,77.0,1.0,1.0
three,78.0,77.0,1.0,1.0
come,77.0,76.0,1.0,1.0
element,77.0,76.0,1.0,1.0
movement,77.0,76.0,1.0,1.0
b.,76.0,75.0,1.0,1.0
govern,76.0,75.0,1.0,1.0
move,76.0,75.0,1.0,1.0
==moral,74.0,73.0,1.0,1.0
process,74.0,75.0,-1.0,1.0
capac,73.0,72.0,1.0,1.0
terror,72.0,71.0,1.0,1.0
typic,72.0,71.0,1.0,1.0
id,71.0,70.0,1.0,1.0
judg,71.0,70.0,1.0,1.0
continu,70.0,69.0,1.0,1.0
man,70.0,69.0,1.0,1.0
blood,69.0,68.0,1.0,1.0
deni,69.0,68.0,1.0,1.0
link,69.0,68.0,1.0,1.0
context,68.0,67.0,1.0,1.0
anyth,67.0,66.0,1.0,1.0
consider,67.0,66.0,1.0,1.0
psychology|evolutionari,67.0,66.0,1.0,1.0
upon,67.0,66.0,1.0,1.0
analysi,64.0,63.0,1.0,1.0
morality.,64.0,63.0,1.0,1.0
and/or,63.0,64.0,-1.0,1.0
she,63.0,62.0,1.0,1.0
c,62.0,61.0,1.0,1.0
demonstr,62.0,61.0,1.0,1.0
enhanc,62.0,61.0,1.0,1.0
under,61.0,60.0,1.0,1.0
arbitrari,60.0,59.0,1.0,1.0
condit,60.0,59.0,1.0,1.0
significantli,60.0,59.0,1.0,1.0
taken,60.0,59.0,1.0,1.0
convent,59.0,58.0,1.0,1.0
follow,59.0,58.0,1.0,1.0
greater,59.0,58.0,1.0,1.0
ingroup,59.0,60.0,-1.0,1.0
race,59.0,58.0,1.0,1.0
character,58.0,57.0,1.0,1.0
disput,58.0,57.0,1.0,1.0
realism,58.0,57.0,1.0,1.0
murder,57.0,56.0,1.0,1.0
site,57.0,56.0,1.0,1.0
sourc,57.0,56.0,1.0,1.0
widespread,57.0,56.0,1.0,1.0
chomski,56.0,55.0,1.0,1.0
decre,56.0,55.0,1.0,1.0
hypocrisi,56.0,55.0,1.0,1.0
sentiment,56.0,55.0,1.0,1.0
go,55.0,54.0,1.0,1.0
interfer,55.0,54.0,1.0,1.0
christoph,54.0,53.0,1.0,1.0
foundat,54.0,53.0,1.0,1.0
statist,54.0,53.0,1.0,1.0
cochran,53.0,52.0,1.0,1.0
edict,53.0,52.0,1.0,1.0
popul,53.0,52.0,1.0,1.0
regardless,53.0,52.0,1.0,1.0
boundari,52.0,51.0,1.0,1.0
entitl,52.0,51.0,1.0,1.0
falger,52.0,51.0,1.0,1.0
onlin,52.0,51.0,1.0,1.0
patriot,52.0,51.0,1.0,1.0
privat,52.0,51.0,1.0,1.0
variabl,52.0,51.0,1.0,1.0
anthropologist,51.0,50.0,1.0,1.0
ensur,51.0,50.0,1.0,1.0
talk,51.0,50.0,1.0,1.0
allow,50.0,49.0,1.0,1.0
build,50.0,49.0,1.0,1.0
key,50.0,49.0,1.0,1.0
lead,50.0,49.0,1.0,1.0
closer,49.0,48.0,1.0,1.0
coauthor,49.0,50.0,-1.0,1.0
latin,49.0,48.0,1.0,1.0
statu,49.0,48.0,1.0,1.0
’s,49.0,48.0,1.0,1.0
contract,48.0,47.0,1.0,1.0
drive,48.0,47.0,1.0,1.0
outcom,48.0,47.0,1.0,1.0
popularli,48.0,47.0,1.0,1.0
scriptur,48.0,47.0,1.0,1.0
decid,47.0,46.0,1.0,1.0
degener,47.0,46.0,1.0,1.0
friend,47.0,46.0,1.0,1.0
goe,47.0,46.0,1.0,1.0
shape,47.0,46.0,1.0,1.0
fr,46.0,45.0,1.0,1.0
gossip,46.0,45.0,1.0,1.0
grade,46.0,45.0,1.0,1.0
now,46.0,45.0,1.0,1.0
refin,46.0,45.0,1.0,1.0
apart,45.0,44.0,1.0,1.0
ascend,45.0,44.0,1.0,1.0
compani,45.0,44.0,1.0,1.0
creator,45.0,44.0,1.0,1.0
nl,45.0,44.0,1.0,1.0
path,45.0,46.0,-1.0,1.0
aim,44.0,43.0,1.0,1.0
altern,44.0,43.0,1.0,1.0
chapter,44.0,43.0,1.0,1.0
control,44.0,43.0,1.0,1.0
dowag,44.0,43.0,1.0,1.0
habitat,44.0,43.0,1.0,1.0
hypothet,44.0,43.0,1.0,1.0
minim,44.0,43.0,1.0,1.0
outgroup,44.0,45.0,-1.0,1.0
quit,44.0,43.0,1.0,1.0
reliabl,44.0,43.0,1.0,1.0
skeptic,44.0,43.0,1.0,1.0
|conform,44.0,43.0,1.0,1.0
adjust,43.0,42.0,1.0,1.0
alway,43.0,42.0,1.0,1.0
arbor,43.0,42.0,1.0,1.0
china,43.0,42.0,1.0,1.0
cistercian,43.0,42.0,1.0,1.0
credit,43.0,42.0,1.0,1.0
demis,43.0,42.0,1.0,1.0
feed,43.0,42.0,1.0,1.0
intern,43.0,42.0,1.0,1.0
manner,43.0,42.0,1.0,1.0
monastic,43.0,42.0,1.0,1.0
play,43.0,42.0,1.0,1.0
qualiti,43.0,42.0,1.0,1.0
reform,43.0,42.0,1.0,1.0
reviv,43.0,42.0,1.0,1.0
subjug,43.0,42.0,1.0,1.0
vanderbilt,43.0,42.0,1.0,1.0
‘,43.0,42.0,1.0,1.0
‘flexible’,43.0,42.0,1.0,1.0
’,43.0,42.0,1.0,1.0
accessd,42.0,41.0,1.0,1.0
cixi|dowag,42.0,41.0,1.0,1.0
cosmolog,42.0,41.0,1.0,1.0
depart,42.0,41.0,1.0,1.0
factor,42.0,41.0,1.0,1.0
forum,42.0,41.0,1.0,1.0
look|first=gregori,42.0,41.0,1.0,1.0
mose,42.0,43.0,-1.0,1.0
person’,42.0,41.0,1.0,1.0
singl,42.0,41.0,1.0,1.0
stone,42.0,41.0,1.0,1.0
url=http,42.0,43.0,-1.0,1.0
wiktionari,42.0,43.0,-1.0,1.0
''did,41.0,40.0,1.0,1.0
//www.chabad.org/search/keyword.asp,41.0,40.0,1.0,1.0
chabad.org,41.0,40.0,1.0,1.0
declin,41.0,40.0,1.0,1.0
exil,41.0,40.0,1.0,1.0
genet,41.0,40.0,1.0,1.0
hit,41.0,40.0,1.0,1.0
hungri,41.0,40.0,1.0,1.0
indulg,41.0,40.0,1.0,1.0
injuri,41.0,40.0,1.0,1.0
interf,41.0,40.0,1.0,1.0
kid=1222,41.0,40.0,1.0,1.0
open,41.0,40.0,1.0,1.0
predominantli,41.0,40.0,1.0,1.0
prescriptiv,41.0,40.0,1.0,1.0
prohibit,41.0,40.0,1.0,1.0
savanna,41.0,40.0,1.0,1.0
type,41.0,40.0,1.0,1.0
''letter,40.0,39.0,1.0,1.0
//purl.org/jr,40.0,39.0,1.0,1.0
caleb,40.0,39.0,1.0,1.0
church,40.0,39.0,1.0,1.0
deal,40.0,39.0,1.0,1.0
fast,40.0,39.0,1.0,1.0
increment,40.0,39.0,1.0,1.0
kill,40.0,39.0,1.0,1.0
quantiti,40.0,39.0,1.0,1.0
return,40.0,39.0,1.0,1.0
ride,40.0,39.0,1.0,1.0
save,40.0,39.0,1.0,1.0
somehow,40.0,39.0,1.0,1.0
strict,40.0,39.0,1.0,1.0
torah|law,40.0,39.0,1.0,1.0
weapon,40.0,39.0,1.0,1.0
1982,39.0,38.0,1.0,1.0
begin,39.0,38.0,1.0,1.0
boehm,39.0,38.0,1.0,1.0
cheat,39.0,38.0,1.0,1.0
coauthors=mark,39.0,38.0,1.0,1.0
commonli,39.0,38.0,1.0,1.0
controversi,39.0,38.0,1.0,1.0
discourag,39.0,38.0,1.0,1.0
few,39.0,38.0,1.0,1.0
mach|location=cedarvil,39.0,38.0,1.0,1.0
methodolog,39.0,38.0,1.0,1.0
moreno-riaño|,39.0,38.0,1.0,1.0
passeng,39.0,38.0,1.0,1.0
perspectives==,39.0,40.0,-1.0,1.0
regurgit,39.0,38.0,1.0,1.0
suppli,39.0,38.0,1.0,1.0
teach,39.0,38.0,1.0,1.0
volume=8,39.0,38.0,1.0,1.0
1984,38.0,37.0,1.0,1.0
characterist,38.0,37.0,1.0,1.0
close-knit,38.0,37.0,1.0,1.0
consum,38.0,37.0,1.0,1.0
count,38.0,37.0,1.0,1.0
fluctuat,38.0,37.0,1.0,1.0
meal,38.0,37.0,1.0,1.0
prey,38.0,37.0,1.0,1.0
prison,38.0,37.0,1.0,1.0
project,38.0,37.0,1.0,1.0
starvat,38.0,37.0,1.0,1.0
surplu,38.0,37.0,1.0,1.0
unpredict,38.0,37.0,1.0,1.0
wilkinson,38.0,37.0,1.0,1.0
//moses.creighton.edu/jrs/pdf/2006-7.pdf,37.0,36.0,1.0,1.0
benefit,37.0,36.0,1.0,1.0
beyond,37.0,36.0,1.0,1.0
conced,37.0,36.0,1.0,1.0
difficult,37.0,36.0,1.0,1.0
duti,37.0,36.0,1.0,1.0
immanuel,37.0,36.0,1.0,1.0
jr.,37.0,36.0,1.0,1.0
kent,37.0,36.0,1.0,1.0
strength,37.0,36.0,1.0,1.0
troy,37.0,36.0,1.0,1.0
==extern,36.0,35.0,1.0,1.0
aid,36.0,35.0,1.0,1.0
blackburn|year=,36.0,35.0,1.0,1.0
date,36.0,35.0,1.0,1.0
fiber,36.0,35.0,1.0,1.0
pichon,36.0,35.0,1.0,1.0
sarogl,36.0,35.0,1.0,1.0
simon|authorlink=simon,36.0,35.0,1.0,1.0
sin,36.0,35.0,1.0,1.0
t,36.0,35.0,1.0,1.0
unto,36.0,35.0,1.0,1.0
vassili,36.0,35.0,1.0,1.0
well-defin,36.0,37.0,-1.0,1.0
//www.worldmoralmovement.org,35.0,34.0,1.0,1.0
appar,35.0,34.0,1.0,1.0
burdett,35.0,36.0,-1.0,1.0
disord,35.0,34.0,1.0,1.0
fall,35.0,34.0,1.0,1.0
futur,35.0,34.0,1.0,1.0
inclus,35.0,34.0,1.0,1.0
judgment|judg,35.0,34.0,1.0,1.0
regneru,35.0,36.0,-1.0,1.0
web|,35.0,36.0,-1.0,1.0
worldmoralmovement.org,35.0,34.0,1.0,1.0
alcohol,34.0,33.0,1.0,1.0
amount,34.0,33.0,1.0,1.0
error,34.0,33.0,1.0,1.0
fals,34.0,33.0,1.0,1.0
16,33.0,32.0,1.0,1.0
34,33.0,32.0,1.0,1.0
661,33.0,32.0,1.0,1.0
ca,33.0,32.0,1.0,1.0
chu,33.0,32.0,1.0,1.0
decreas,33.0,32.0,1.0,1.0
desist,33.0,32.0,1.0,1.0
disadvantag,33.0,32.0,1.0,1.0
dori,33.0,32.0,1.0,1.0
inner,33.0,32.0,1.0,1.0
liberalism|liber,33.0,32.0,1.0,1.0
organis,33.0,32.0,1.0,1.0
put,33.0,32.0,1.0,1.0
voluntari,33.0,32.0,1.0,1.0
''journal,32.0,33.0,-1.0,1.0
47,32.0,33.0,-1.0,1.0
isabel,32.0,31.0,1.0,1.0
laurenc,32.0,31.0,1.0,1.0
links==,32.0,31.0,1.0,1.0
quot,32.0,31.0,1.0,1.0
sociobiologist,32.0,31.0,1.0,1.0
taboo|taboo,32.0,33.0,-1.0,1.0
trompett,32.0,31.0,1.0,1.0
verschueren,32.0,31.0,1.0,1.0
zeitgeist,32.0,31.0,1.0,1.0
2014,31.0,30.0,1.0,1.0
60,31.0,30.0,1.0,1.0
baier,31.0,30.0,1.0,1.0
citi,31.0,30.0,1.0,1.0
danger,31.0,30.0,1.0,1.0
deterr,31.0,30.0,1.0,1.0
doi|10.1111/j.1468-5906.2005.00296.x,31.0,30.0,1.0,1.0
dysfunct,31.0,30.0,1.0,1.0
ethnic,31.0,30.0,1.0,1.0
exert,31.0,30.0,1.0,1.0
individuals’,31.0,30.0,1.0,1.0
moder,31.0,30.0,1.0,1.0
separ,31.0,30.0,1.0,1.0
stori,31.0,30.0,1.0,1.0
suffer,31.0,30.0,1.0,1.0
white,31.0,30.0,1.0,1.0
wright,31.0,30.0,1.0,1.0
//dangerousintersection.org/,30.0,29.0,1.0,1.0
//www.newyorker.com/online/video/conference/2007/haidt,30.0,29.0,1.0,1.0
1974,30.0,29.0,1.0,1.0
1987,30.0,29.0,1.0,1.0
1989,30.0,29.0,1.0,1.0
1991,30.0,29.0,1.0,1.0
1997,30.0,29.0,1.0,1.0
1998,30.0,29.0,1.0,1.0
25,30.0,29.0,1.0,1.0
32,30.0,29.0,1.0,1.0
55,30.0,29.0,1.0,1.0
alcorn,30.0,29.0,1.0,1.0
attend,30.0,29.0,1.0,1.0
attitude-behavior,30.0,29.0,1.0,1.0
bahr,30.0,29.0,1.0,1.0
bursik,30.0,29.0,1.0,1.0
chadwick,30.0,29.0,1.0,1.0
conting,30.0,29.0,1.0,1.0
cullen,30.0,29.0,1.0,1.0
deli,30.0,29.0,1.0,1.0
devianc,30.0,29.0,1.0,1.0
deviant,30.0,29.0,1.0,1.0
dissert,30.0,29.0,1.0,1.0
escap,30.0,29.0,1.0,1.0
etiolog,30.0,29.0,1.0,1.0
extent,30.0,29.0,1.0,1.0
inner-c,30.0,29.0,1.0,1.0
jang,30.0,29.0,1.0,1.0
larson,30.0,29.0,1.0,1.0
longitudin,30.0,29.0,1.0,1.0
marco,30.0,29.0,1.0,1.0
marijuana,30.0,29.0,1.0,1.0
meanwhil,30.0,31.0,-1.0,1.0
nonviol,30.0,29.0,1.0,1.0
p=1445,30.0,29.0,1.0,1.0
produc,30.0,29.0,1.0,1.0
pursuit,30.0,29.0,1.0,1.0
receiv,30.0,29.0,1.0,1.0
revisit,30.0,29.0,1.0,1.0
salienc,30.0,29.0,1.0,1.0
substanc,30.0,29.0,1.0,1.0
umi,30.0,29.0,1.0,1.0
vari,30.0,29.0,1.0,1.0
varieti,30.0,29.0,1.0,1.0
various,30.0,29.0,1.0,1.0
''public,29.0,28.0,1.0,1.0
''when,29.0,28.0,1.0,1.0
-citi,29.0,28.0,1.0,1.0
//faculty.virginia.edu/haidtlab/articles/haidt.graham.when-morality-opposes-justice.doc,29.0,28.0,1.0,1.0
br,29.0,28.0,1.0,1.0
conspecif,29.0,28.0,1.0,1.0
criterion,29.0,28.0,1.0,1.0
disbelief,29.0,28.0,1.0,1.0
disciplin,29.0,28.0,1.0,1.0
h.,29.0,28.0,1.0,1.0
mix,29.0,28.0,1.0,1.0
port,29.0,28.0,1.0,1.0
strong,29.0,28.0,1.0,1.0
trace,29.0,28.0,1.0,1.0
underpin,29.0,28.0,1.0,1.0
1-84112-436-2,28.0,27.0,1.0,1.0
adopt,28.0,27.0,1.0,1.0
boy,28.0,27.0,1.0,1.0
conservat,28.0,27.0,1.0,1.0
enjoy,28.0,27.0,1.0,1.0
except,28.0,27.0,1.0,1.0
geohistor,28.0,27.0,1.0,1.0
homogen,28.0,27.0,1.0,1.0
i-xx,28.0,27.0,1.0,1.0
mayb,28.0,27.0,1.0,1.0
opinion,28.0,27.0,1.0,1.0
strongest,28.0,27.0,1.0,1.0
treatment,28.0,27.0,1.0,1.0
worth,28.0,27.0,1.0,1.0
y,28.0,27.0,1.0,1.0
'how,27.0,26.0,1.0,1.0
behavior”.,27.0,26.0,1.0,1.0
construct,27.0,26.0,1.0,1.0
cquote|in,27.0,26.0,1.0,1.0
doi|10.1111/j.1533-8525.2006.00042.x,27.0,28.0,-1.0,1.0
elementari,27.0,26.0,1.0,1.0
himself,27.0,26.0,1.0,1.0
imprint,27.0,28.0,-1.0,1.0
independ,27.0,26.0,1.0,1.0
intellig,27.0,26.0,1.0,1.0
loyalti,27.0,26.0,1.0,1.0
psychiatri,27.0,26.0,1.0,1.0
psychopathi,27.0,26.0,1.0,1.0
rapist,27.0,26.0,1.0,1.0
relev,27.0,26.0,1.0,1.0
reserv,27.0,26.0,1.0,1.0
step,27.0,26.0,1.0,1.0
unsurpris,27.0,26.0,1.0,1.0
''premotor,26.0,25.0,1.0,1.0
//www.philosophyblog.com.au/ethics-vs-morality-the-distinction-between-ethics-and-morals/,26.0,27.0,-1.0,1.0
//www.washingtonpost.com/wp-dyn/content/article/2007/05/27/ar2007052701056_pf.html,26.0,25.0,1.0,1.0
alli,26.0,25.0,1.0,1.0
discoveri,26.0,25.0,1.0,1.0
forward,26.0,25.0,1.0,1.0
free,26.0,25.0,1.0,1.0
giacomo,26.0,25.0,1.0,1.0
goudena,26.0,25.0,1.0,1.0
marshal,26.0,25.0,1.0,1.0
matthi,26.0,25.0,1.0,1.0
motor,26.0,25.0,1.0,1.0
psychopath,26.0,25.0,1.0,1.0
recognit,26.0,25.0,1.0,1.0
rizzolatti,26.0,25.0,1.0,1.0
self-esteem,26.0,25.0,1.0,1.0
stringent,26.0,25.0,1.0,1.0
undergo,26.0,25.0,1.0,1.0
w,26.0,25.0,1.0,1.0
wie,26.0,25.0,1.0,1.0
wl,26.0,25.0,1.0,1.0
ym,26.0,25.0,1.0,1.0
|doi=10.1111/j.1469-7610.2004.00389.x,26.0,25.0,1.0,1.0
|issue=1,26.0,25.0,1.0,1.0
|issue=8,26.0,25.0,1.0,1.0
|journal=sexu,26.0,25.0,1.0,1.0
|pmid=12616926,26.0,25.0,1.0,1.0
|title=victim,26.0,25.0,1.0,1.0
|volume=15,26.0,25.0,1.0,1.0
|volume=46,26.0,25.0,1.0,1.0
